"SCOPE","AGGREGATION LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","CAMPUS NUMBER","CAMPUS NAME","GRADE GROUP","COUNTY NUMBER","COUNTY NAME","REGION","TOTAL  ENROLLMENT","TOTAL  G & T  STUDENTS","TOTAL  CTE  STUDENTS","TOTAL  ELL  STUDENTS","TOTAL  BILINGUAL  STUDENTS","TOTAL  ESL  STUDENTS","TOTAL  ECONOMICALLY  DISADVANTAGED  STUDENTS","TOTAL  TITLE I  STUDENTS","TOTAL  AT RISK  STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL HOMELESS STUDENTS","SUM_HOMELESS","TOTAL DYSLEXIC STUDENTS"
"COUNTY","CAMPUS","2016-2017",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820101,"KIPP AUSTIN COMUNIDAD","ELEMENTARY",227,"TRAVIS COUNTY",13,602,0,0,390,390,0,530,599,450,0,-9999999,33,0,-9999999
"COUNTY","CAMPUS","2016-2017",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820102,"KIPP AUSTIN CONNECTIONS EL","ELEMENTARY",227,"TRAVIS COUNTY",13,603,0,0,313,313,0,502,593,372,0,0,42,0,-9999999
"COUNTY","CAMPUS","2016-2017",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820103,"KIPP AUSTIN OBRAS","ELEMENTARY",227,"TRAVIS COUNTY",13,591,0,0,341,341,0,505,591,394,0,0,40,0,-9999999
"COUNTY","CAMPUS","2016-2017",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820104,"KIPP AUSTIN LEADERSHIP EL","ELEMENTARY",227,"TRAVIS COUNTY",13,583,0,0,298,298,0,501,582,365,0,0,39,-9999999,-9999999
"COUNTY","CAMPUS","2016-2017",227821,"AUSTIN DISCOVERY SCHOOL",227821101,"AUSTIN DISCOVERY SCH","ELEMENTARY",227,"TRAVIS COUNTY",13,557,0,0,15,0,15,66,-9999999,192,-9999999,-9999999,47,0,20
"COUNTY","CAMPUS","2016-2017",227824,"EAST AUSTIN COLLEGE PREP",227824001,"THE EAST AUSTIN COLLEGE PREP AT SO","ELEMENTARY",227,"TRAVIS COUNTY",13,101,0,0,26,0,26,100,101,36,0,0,-9999999,0,-9999999
"COUNTY","CAMPUS","2016-2017",227824,"EAST AUSTIN COLLEGE PREP",227824002,"THE EAST AUSTIN COLLEGE PREP AT ML","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,568,0,203,146,0,146,490,0,402,0,0,54,0,8
"COUNTY","CAMPUS","2016-2017",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"AUSTIN ACHIEVE PUBLIC SCHOOLS","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,702,0,45,393,0,393,626,702,487,0,-9999999,86,0,0
"COUNTY","CAMPUS","2016-2017",227826,"MONTESSORI FOR ALL",227826101,"MAGNOLIA MONTESSORI FOR ALL","ELEMENTARY",227,"TRAVIS COUNTY",13,377,0,0,92,0,91,147,377,93,-9999999,0,25,0,0
"COUNTY","CAMPUS","2016-2017",227827,"THE EXCEL CENTER (FOR ADULTS)",227827001,"THE EXCEL CENTER (FOR ADULTS)","HIGH SCHOOL",227,"TRAVIS COUNTY",13,148,0,15,18,0,18,96,0,0,0,0,0,0,0
"COUNTY","CAMPUS","2016-2017",227828,"THE EXCEL CENTER",227828001,"THE EXCEL CENTER","HIGH SCHOOL",227,"TRAVIS COUNTY",13,213,0,16,85,0,85,99,0,167,0,0,9,14,0
"COUNTY","CAMPUS","2016-2017",227828,"THE EXCEL CENTER",227828002,"EXCEL CENTER LOCKHART","HIGH SCHOOL",227,"TRAVIS COUNTY",13,13,0,0,0,0,0,0,0,8,0,0,0,0,0
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901002,"AUSTIN H S","HIGH SCHOOL",227,"TRAVIS COUNTY",13,2145,231,1253,73,0,70,598,10,831,0,0,196,11,181
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901004,"LANIER H S","HIGH SCHOOL",227,"TRAVIS COUNTY",13,1659,61,1093,626,0,618,1391,1659,1310,0,7,217,23,125
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901005,"MCCALLUM H S","HIGH SCHOOL",227,"TRAVIS COUNTY",13,1759,328,933,70,0,66,468,26,707,-9999999,0,170,27,118
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901006,"REAGAN H S","HIGH SCHOOL",227,"TRAVIS COUNTY",13,1255,87,978,432,-9999999,423,1019,1255,950,0,6,166,31,92
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901007,"TRAVIS H S","HIGH SCHOOL",227,"TRAVIS COUNTY",13,1332,88,966,336,0,323,1029,1332,1017,0,-9999999,222,31,167
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901008,"CROCKETT H S","HIGH SCHOOL",227,"TRAVIS COUNTY",13,1515,143,725,226,-9999999,219,940,31,951,-9999999,6,226,33,146
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901009,"ANDERSON H S","HIGH SCHOOL",227,"TRAVIS COUNTY",13,2217,188,1203,104,-9999999,99,501,11,714,18,-9999999,167,12,112
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901012,"ALTERNATIVE LEARNING CENTER","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,107,-9999999,0,27,0,26,74,-9999999,107,0,-9999999,27,8,14
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901013,"BOWIE H S","HIGH SCHOOL",227,"TRAVIS COUNTY",13,2894,290,1953,52,0,44,345,11,715,23,-9999999,204,11,167
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901014,"LBJ HIGH SCHOOL","HIGH SCHOOL",227,"TRAVIS COUNTY",13,804,68,671,175,0,167,624,804,537,0,0,105,12,98
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901015,"GARZA INDEPENDENCE H S","HIGH SCHOOL",227,"TRAVIS COUNTY",13,205,11,33,13,0,13,69,11,171,0,0,20,12,9
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901017,"AKINS H S","HIGH SCHOOL",227,"TRAVIS COUNTY",13,2680,195,2260,329,-9999999,313,1673,29,1590,8,-9999999,318,30,198
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901018,"LASA H S","HIGH SCHOOL",227,"TRAVIS COUNTY",13,1111,549,720,0,0,0,78,0,24,0,0,9,0,17
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901019,"EASTSIDE MEMORIAL AT THE JOHNSTON","HIGH SCHOOL",227,"TRAVIS COUNTY",13,553,23,337,160,0,157,471,553,451,-9999999,-9999999,112,16,85
