"SCOPE","AGGREGATION LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","CAMPUS NUMBER","CAMPUS NAME","COUNTY NUMBER","COUNTY NAME","REGION","TOTAL  ENROLLMENT","TOTAL  G & T  STUDENTS","TOTAL  CTE  STUDENTS","TOTAL  ELL  STUDENTS","TOTAL  BILINGUAL  STUDENTS","TOTAL  ESL  STUDENTS","TOTAL  ECONOMICALLY  DISADVANTAGED  STUDENTS","TOTAL  TITLE I  STUDENTS","TOTAL  AT RISK  STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"COUNTY","CAMPUS","2015-2016",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816005,"HARMONY SCHOOL OF INNOVATION - AUS",227,"TRAVIS COUNTY",13,468,26,0,222,0,219,348,468,280,0,0,24,-9999999
"COUNTY","CAMPUS","2015-2016",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816101,"HARMONY SCHOOL OF EXCELLENCE",227,"TRAVIS COUNTY",13,565,34,97,152,0,151,394,565,356,0,0,54,25
"COUNTY","CAMPUS","2015-2016",227817,"CEDARS INTERNATIONAL ACADEMY",227817101,"CEDARS INTERNATIONAL ACADEMY",227,"TRAVIS COUNTY",13,390,5,0,174,0,173,352,390,209,-9999999,0,21,13
"COUNTY","CAMPUS","2015-2016",227819,"UNIVERSITY OF TEXAS ELEMENTARY CHA",227819101,"UNIVERSITY OF TEXAS EL CHARTER SCH",227,"TRAVIS COUNTY",13,303,15,0,72,0,68,161,45,132,5,0,15,7
"COUNTY","CAMPUS","2015-2016",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820001,"KIPP AUSTIN COLLEGIATE",227,"TRAVIS COUNTY",13,627,0,0,162,0,157,557,627,325,0,0,53,5
"COUNTY","CAMPUS","2015-2016",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820041,"KIPP AUSTIN COLLEGE PREP",227,"TRAVIS COUNTY",13,431,0,0,217,0,214,401,431,297,0,0,44,0
"COUNTY","CAMPUS","2015-2016",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820042,"KIPP AUSTIN ACADEMY OF ARTS & LETT",227,"TRAVIS COUNTY",13,427,0,0,143,0,142,393,427,208,0,0,37,-9999999
"COUNTY","CAMPUS","2015-2016",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820043,"KIPP AUSTIN BEACON PREP",227,"TRAVIS COUNTY",13,426,0,0,244,0,238,393,426,337,0,0,36,-9999999
"COUNTY","CAMPUS","2015-2016",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820044,"KIPP AUSTIN VISTA MIDDLE SCHOOLS",227,"TRAVIS COUNTY",13,431,0,0,226,0,219,398,431,281,0,0,51,8
"COUNTY","CAMPUS","2015-2016",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820101,"KIPP AUSTIN COMUNIDAD",227,"TRAVIS COUNTY",13,603,0,0,360,360,0,540,603,432,0,-9999999,37,0
"COUNTY","CAMPUS","2015-2016",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820102,"KIPP AUSTIN CONNECTIONS EL",227,"TRAVIS COUNTY",13,601,0,0,397,397,0,508,601,429,0,0,43,0
"COUNTY","CAMPUS","2015-2016",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820103,"KIPP AUSTIN OBRAS",227,"TRAVIS COUNTY",13,473,0,0,283,283,0,404,473,305,0,0,33,-9999999
"COUNTY","CAMPUS","2015-2016",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820104,"KIPP AUSTIN LEADERSHIP EL",227,"TRAVIS COUNTY",13,471,0,0,255,255,0,414,471,305,0,0,33,-9999999
"COUNTY","CAMPUS","2015-2016",227821,"AUSTIN DISCOVERY SCHOOL",227821101,"AUSTIN DISCOVERY SCH",227,"TRAVIS COUNTY",13,543,0,0,18,0,20,101,0,227,-9999999,-9999999,42,26
"COUNTY","CAMPUS","2015-2016",227824,"EAST AUSTIN COLLEGE PREP",227824001,"THE EAST AUSTIN COLLEGE PREP ACADE",227,"TRAVIS COUNTY",13,219,0,0,96,0,96,191,219,110,0,0,21,9
"COUNTY","CAMPUS","2015-2016",227824,"EAST AUSTIN COLLEGE PREP",227824002,"THE EAST AUSTIN COLLEGE PREP AT ML",227,"TRAVIS COUNTY",13,574,0,86,135,0,135,561,574,241,0,0,60,0
"COUNTY","CAMPUS","2015-2016",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227,"TRAVIS COUNTY",13,548,0,0,311,0,310,512,547,330,0,-9999999,59,0
"COUNTY","CAMPUS","2015-2016",227826,"MONTESSORI FOR ALL",227826101,"MAGNOLIA MONTESSORI FOR ALL",227,"TRAVIS COUNTY",13,332,0,0,86,0,84,152,325,110,-9999999,0,21,0
"COUNTY","CAMPUS","2015-2016",227827,"THE EXCEL CENTER (FOR ADULTS)",227827001,"THE EXCEL CENTER (FOR ADULTS)",227,"TRAVIS COUNTY",13,147,0,10,12,0,12,72,0,0,0,0,0,0
"COUNTY","CAMPUS","2015-2016",227828,"THE EXCEL CENTER",227828001,"THE EXCEL CENTER",227,"TRAVIS COUNTY",13,282,0,23,9,0,9,207,0,252,0,-9999999,12,0
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901000,"NOT APPLICABLE",227,"TRAVIS COUNTY",13,26,0,0,0,0,0,26,0,0,0,0,0,0
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901002,"AUSTIN H S",227,"TRAVIS COUNTY",13,2084,181,1174,56,0,54,597,15,871,0,0,174,166
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901004,"LANIER H S",227,"TRAVIS COUNTY",13,1615,70,1007,563,0,556,1407,1615,1247,-9999999,6,203,123
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901005,"MCCALLUM H S",227,"TRAVIS COUNTY",13,1738,294,875,77,0,74,502,19,736,-9999999,-9999999,165,112
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901006,"REAGAN H S",227,"TRAVIS COUNTY",13,1302,101,979,394,0,387,1040,1302,1001,0,11,156,98
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901007,"TRAVIS H S",227,"TRAVIS COUNTY",13,1291,77,874,313,0,293,1059,1290,1008,0,-9999999,187,154
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901008,"CROCKETT H S",227,"TRAVIS COUNTY",13,1462,130,552,157,0,154,870,38,894,-9999999,-9999999,200,140
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901009,"ANDERSON H S",227,"TRAVIS COUNTY",13,2270,196,1206,111,0,102,518,16,756,11,-9999999,167,116
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901012,"ALTERNATIVE LEARNING CENTER",227,"TRAVIS COUNTY",13,116,-9999999,-9999999,27,0,26,94,-9999999,110,0,0,27,16
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901013,"BOWIE H S",227,"TRAVIS COUNTY",13,2912,274,1949,40,0,34,346,9,764,19,-9999999,212,152
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901014,"LBJ HIGH SCHOOL",227,"TRAVIS COUNTY",13,874,74,749,147,0,140,680,874,641,0,0,125,104
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901015,"GARZA INDEPENDENCE H S",227,"TRAVIS COUNTY",13,192,15,59,9,0,9,56,8,154,0,0,14,8
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901017,"AKINS H S",227,"TRAVIS COUNTY",13,2713,193,2193,324,0,312,1798,43,1712,-9999999,0,306,241
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901018,"LASA H S",227,"TRAVIS COUNTY",13,1016,504,599,-9999999,0,-9999999,89,0,29,-9999999,0,6,14
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901019,"EASTSIDE MEMORIAL AT THE JOHNSTON",227,"TRAVIS COUNTY",13,551,30,370,138,0,137,479,551,458,0,0,100,83
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901025,"GRADUATION PREP ACADEMY TRAVIS",227,"TRAVIS COUNTY",13,123,0,0,23,0,21,95,6,119,0,-9999999,17,18
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901026,"GRADUATION PREP ACADEMY LANIER",227,"TRAVIS COUNTY",13,124,0,0,45,0,45,98,10,120,0,0,20,8
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901027,"TRAVIS COUNTY DAY SCHOOL",227,"TRAVIS COUNTY",13,6,0,0,-9999999,0,-9999999,-9999999,-9999999,6,0,0,-9999999,0
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901028,"RICHARDS SCH FOR YOUNG WOMEN LEADE",227,"TRAVIS COUNTY",13,787,250,787,39,0,39,457,0,122,0,0,7,10
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901029,"INTERNATIONAL H S",227,"TRAVIS COUNTY",13,294,0,122,291,0,291,284,12,291,0,0,0,-9999999
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901030,"TRAVIS COUNTY JUVENILE DETENTION C",227,"TRAVIS COUNTY",13,41,0,0,5,0,-9999999,20,-9999999,41,0,0,9,5
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901032,"PHOENIX ACADEMY",227,"TRAVIS COUNTY",13,34,0,0,-9999999,0,-9999999,5,-9999999,34,0,0,7,-9999999
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901035,"LEADERSHIP ACADEMY",227,"TRAVIS COUNTY",13,27,0,5,7,0,6,13,0,27,0,0,11,5
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901036,"TRAVIS COUNTY J J A E P",227,"TRAVIS COUNTY",13,-9999999,0,0,-9999999,0,-9999999,-9999999,0,-9999999,0,0,0,-9999999
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901043,"FULMORE M S",227,"TRAVIS COUNTY",13,1007,236,287,245,0,237,684,1007,512,-9999999,-9999999,137,91
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901044,"KEALING M S",227,"TRAVIS COUNTY",13,1203,532,391,80,0,78,367,1203,287,-9999999,-9999999,88,54
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901045,"LAMAR M S",227,"TRAVIS COUNTY",13,972,132,553,62,0,56,290,-9999999,307,0,0,95,76
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901046,"BURNET M S",227,"TRAVIS COUNTY",13,1020,40,529,530,0,527,925,1020,815,-9999999,-9999999,148,77
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901047,"O HENRY M S",227,"TRAVIS COUNTY",13,931,99,312,64,0,62,221,-9999999,273,0,-9999999,77,89
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901051,"MARTIN M S",227,"TRAVIS COUNTY",13,456,24,243,127,0,122,419,456,364,0,0,97,66
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901052,"MURCHISON MIDDLE",227,"TRAVIS COUNTY",13,1365,140,638,132,0,132,347,-9999999,420,6,0,103,79
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901053,"WEBB M S",227,"TRAVIS COUNTY",13,699,23,222,387,0,384,666,699,575,0,0,130,48
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901054,"BEDICHEK MIDDLE",227,"TRAVIS COUNTY",13,908,60,530,229,0,220,731,908,603,0,0,157,114
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901055,"DOBIE MIDDLE",227,"TRAVIS COUNTY",13,634,19,295,282,0,278,579,634,492,0,0,114,46
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901057,"COVINGTON M S",227,"TRAVIS COUNTY",13,641,47,257,104,0,99,400,7,354,0,-9999999,117,85
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901058,"MENDEZ M S",227,"TRAVIS COUNTY",13,790,30,279,344,-9999999,333,741,790,652,0,0,104,73
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901059,"BAILEY M S",227,"TRAVIS COUNTY",13,872,55,368,32,0,27,234,-9999999,288,0,-9999999,113,75
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901060,"SMALL M S",227,"TRAVIS COUNTY",13,1006,114,635,87,0,83,310,5,351,16,-9999999,107,68
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901061,"PAREDES M S",227,"TRAVIS COUNTY",13,997,71,307,219,0,211,723,997,613,0,-9999999,120,82
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901062,"GORZYCKI MIDDLE",227,"TRAVIS COUNTY",13,1341,179,611,32,0,30,64,0,192,8,0,114,105
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901064,"GARCIA YMLA",227,"TRAVIS COUNTY",13,425,33,272,170,0,168,399,425,339,0,-9999999,81,58
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901065,"SADLER MEANS YWLA",227,"TRAVIS COUNTY",13,369,27,133,170,0,166,328,369,297,0,-9999999,48,22
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901101,"ALLISON EL",227,"TRAVIS COUNTY",13,545,10,0,249,227,19,521,545,412,0,0,53,19
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901102,"ANDREWS EL",227,"TRAVIS COUNTY",13,594,16,0,424,391,32,570,594,524,0,0,49,19
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901103,"BARTON HILLS EL",227,"TRAVIS COUNTY",13,407,19,0,6,0,-9999999,31,-9999999,81,-9999999,0,17,15
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901104,"BECKER EL",227,"TRAVIS COUNTY",13,377,67,0,66,253,5,161,377,153,0,-9999999,15,16
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901105,"BLACKSHEAR EL",227,"TRAVIS COUNTY",13,291,10,0,86,34,51,236,291,158,0,-9999999,24,18
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901106,"BLANTON EL",227,"TRAVIS COUNTY",13,479,23,0,283,335,11,392,479,368,0,0,45,12
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901107,"BRENTWOOD EL",227,"TRAVIS COUNTY",13,617,63,0,70,111,16,161,-9999999,242,-9999999,-9999999,68,35
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901108,"BROOKE EL",227,"TRAVIS COUNTY",13,254,8,0,73,64,9,239,254,172,0,0,31,12
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901109,"BROWN EL",227,"TRAVIS COUNTY",13,358,13,0,259,241,17,343,358,313,0,0,37,7
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901110,"BRYKER WOODS EL",227,"TRAVIS COUNTY",13,400,23,0,14,0,13,39,0,99,0,0,23,20
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901111,"CAMPBELL EL",227,"TRAVIS COUNTY",13,220,6,0,43,38,-9999999,206,220,130,0,0,31,12
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901112,"CASIS EL",227,"TRAVIS COUNTY",13,793,33,0,9,0,8,17,-9999999,119,-9999999,-9999999,47,39
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901113,"CUNNINGHAM EL",227,"TRAVIS COUNTY",13,415,8,0,76,87,14,262,415,211,-9999999,8,62,26
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901114,"DAWSON EL",227,"TRAVIS COUNTY",13,382,27,0,117,150,25,316,382,234,-9999999,0,66,19
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901115,"DAEP- EL",227,"TRAVIS COUNTY",13,16,0,0,-9999999,-9999999,-9999999,14,0,13,0,0,-9999999,-9999999
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901116,"GOVALLE EL",227,"TRAVIS COUNTY",13,501,32,0,172,163,7,449,501,336,-9999999,5,59,16
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901117,"GULLETT EL",227,"TRAVIS COUNTY",13,574,25,0,8,0,7,37,-9999999,97,-9999999,0,40,21
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901118,"HARRIS EL",227,"TRAVIS COUNTY",13,629,-9999999,0,452,369,83,607,629,561,0,-9999999,58,11
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901119,"HIGHLAND PARK EL",227,"TRAVIS COUNTY",13,622,92,0,8,0,6,30,0,134,-9999999,-9999999,40,35
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901120,"JOSLIN EL",227,"TRAVIS COUNTY",13,282,17,0,97,74,20,210,282,163,-9999999,0,36,18
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901121,"LEE EL",227,"TRAVIS COUNTY",13,375,21,0,10,0,10,51,0,87,-9999999,0,35,12
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901122,"MAPLEWOOD EL",227,"TRAVIS COUNTY",13,462,25,0,47,96,10,199,8,150,0,0,49,17
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901123,"MATHEWS EL",227,"TRAVIS COUNTY",13,425,35,0,60,7,51,153,425,164,-9999999,0,37,23
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901124,"METZ EL",227,"TRAVIS COUNTY",13,305,10,0,133,107,26,265,305,222,0,-9999999,41,20
"COUNTY","CAMPUS","2015-2016",227901,"AUSTIN ISD",227901125,"OAK SPRINGS EL",227,"TRAVIS COUNTY",13,333,12,0,93,73,19,315,333,200,0,0,49,14
