PEIMS DATA FOR SCHOOL YEAR 2016-2017
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Grade Level Name","Enrollment by Grade Level"
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ISD CHILD DEVELOPMENT CENTE",227901194,"ELEMENTARY","Pre-kindergarten",78
"2016-2017",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"AUSTIN OAKS",227806040,"ELEMENTARY / SECONDARY","Grade  6",-9999999
"2016-2017",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"AUSTIN OAKS",227806040,"ELEMENTARY / SECONDARY","Grade  7",-9999999
"2016-2017",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"AUSTIN OAKS",227806040,"ELEMENTARY / SECONDARY","Grade  8",-9999999
"2016-2017",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"AUSTIN OAKS",227806040,"ELEMENTARY / SECONDARY","Grade  9",-9999999
"2016-2017",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"AUSTIN OAKS",227806040,"ELEMENTARY / SECONDARY","Grade 10",-9999999
"2016-2017",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"AUSTIN OAKS",227806040,"ELEMENTARY / SECONDARY","Grade 12",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Grade  3",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Grade  5",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Grade  7",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Grade  8",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Grade  9",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Grade 10",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Grade 11",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Grade 12",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"MIDDLE SCHOOL","Grade  6",302
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"MIDDLE SCHOOL","Grade  7",317
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"MIDDLE SCHOOL","Grade  8",280
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Early Education",6
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Pre-kindergarten",50
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Kindergarten",102
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Grade  1",131
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Grade  2",109
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Grade  3",133
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Grade  4",144
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Grade  5",119
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Early Education",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Kindergarten",169
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Grade  1",146
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Grade  2",171
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Grade  3",176
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Grade  4",188
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Grade  5",169
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Pre-kindergarten",126
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Kindergarten",67
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Grade  1",69
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Grade  2",65
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Grade  3",68
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Grade  4",85
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Grade  5",62
"2016-2017",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"ELEMENTARY","Kindergarten",63
"2016-2017",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"ELEMENTARY","Grade  1",73
"2016-2017",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"ELEMENTARY","Grade  2",71
