PEIMS DATA FOR SCHOOL YEAR 2011-2012
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Level Name","Enrollment by Grade Level"
"2011-2012",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  4",60
"2011-2012",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  5",55
"2011-2012",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  6",29
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade  9",602
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade 10",552
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade 11",523
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade 12",559
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  2",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  5",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  6",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  7",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  8",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  9",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade 10",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade 11",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade 12",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Grade  6",320
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Grade  7",320
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Grade  8",346
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Early Education",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Pre-kindergarten",33
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Kindergarten",117
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Grade  1",121
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Grade  2",93
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Grade  3",113
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Grade  4",90
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Grade  5",84
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Early Education",5
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Kindergarten",165
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Grade  1",156
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Grade  2",167
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Grade  3",154
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Grade  4",153
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Grade  5",154
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Early Education",21
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Pre-kindergarten",162
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Kindergarten",194
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Grade  1",166
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Grade  2",160
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Grade  3",132
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Grade  4",124
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Grade  5",111
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Grade  6",48
"2011-2012",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"Early Education",22
"2011-2012",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"Kindergarten",79
"2011-2012",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"Grade  1",82
"2011-2012",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"Grade  2",89
"2011-2012",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"Grade  3",89
"2011-2012",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"Grade  4",90
"2011-2012",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"Grade  5",85
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Kindergarten",53
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Grade  1",54
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Grade  2",68
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Grade  3",56
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Grade  4",58
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Grade  5",50
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Grade  6",51
"2011-2012",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Early Education",9
"2011-2012",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Pre-kindergarten",112
"2011-2012",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Kindergarten",129
"2011-2012",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Grade  1",117
"2011-2012",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Grade  2",96
"2011-2012",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Grade  3",100
"2011-2012",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Grade  4",84
"2011-2012",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Grade  5",105
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Early Education",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Pre-kindergarten",57
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Kindergarten",73
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Grade  1",49
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Grade  2",39
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Grade  3",17
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Grade  4",27
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Grade  5",17
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK M S",227901054,"Grade  6",353
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK M S",227901054,"Grade  7",357
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK M S",227901054,"Grade  8",314
"2011-2012",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE ELEMENTARY",227913103,"Early Education",-9999999
"2011-2012",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE ELEMENTARY",227913103,"Kindergarten",128
"2011-2012",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE ELEMENTARY",227913103,"Grade  1",136
"2011-2012",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE ELEMENTARY",227913103,"Grade  2",124
"2011-2012",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE ELEMENTARY",227913103,"Grade  3",107
"2011-2012",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE ELEMENTARY",227913103,"Grade  4",128
"2011-2012",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE ELEMENTARY",227913103,"Grade  5",120
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Pre-kindergarten",26
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Kindergarten",45
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Grade  1",44
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Grade  2",29
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Grade  3",32
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Grade  4",32
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Grade  5",28
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Early Education",7
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Pre-kindergarten",114
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Kindergarten",108
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Grade  1",101
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Grade  2",82
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Grade  3",97
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Grade  4",92
"2011-2012",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Grade  5",86
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Pre-kindergarten",103
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Kindergarten",83
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Grade  1",84
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Grade  2",84
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Grade  3",70
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Grade  4",79
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Grade  5",72
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Early Education",17
