PEIMS DATA FOR SCHOOL YEAR 2013-2014
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Ethnicity Name","Enrollment by Ethnicity"
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"White",11
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Black or African American",5
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"American Indian or Alaska Native",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Asian",6
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Hispanic",98
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Native Hawaiian/Other or Pacific Islander",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Two or More Races",19
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"White",284
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Black or African American",32
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"American Indian or Alaska Native",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Asian",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Hispanic",191
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Two or More Races",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"White",95
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK M S",227901054,"Black or African American",66
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK M S",227901054,"American Indian or Alaska Native",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK M S",227901054,"Asian",8
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK M S",227901054,"Hispanic",851
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK M S",227901054,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK M S",227901054,"Two or More Races",16
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK M S",227901054,"White",80
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Black or African American",55
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"American Indian or Alaska Native",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Asian",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Hispanic",163
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Two or More Races",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"White",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Black or African American",43
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"American Indian or Alaska Native",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Asian",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Hispanic",484
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Two or More Races",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"White",29
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Black or African American",73
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"American Indian or Alaska Native",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Asian",18
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Hispanic",755
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Two or More Races",24
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"White",97
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Black or African American",24
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"American Indian or Alaska Native",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Asian",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Hispanic",241
