,year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate
110,2014-2015,AUSTIN ISD,Uphaus Early Childhood Center,236,225,236,168,Elementary,100.0
111,2014-2015,AUSTIN ISD,Jordan Elementary School,762,739,762,605,Elementary,100.0
112,2014-2015,AUSTIN ISD,Davis Elementary School,739,176,2,237,Elementary,0.2706359945872801
113,2014-2015,AUSTIN ISD,Kiker Elementary School,1022,31,0,211,Elementary,0.0
114,2014-2015,AUSTIN ISD,Mills Elementary School,802,57,0,195,Elementary,0.0
115,2014-2015,AUSTIN ISD,Baranoff Elementary School,994,112,2,249,Elementary,0.2012072434607646
116,2014-2015,AUSTIN ISD,Cowan Elementary School,800,253,7,218,Elementary,0.875
117,2014-2015,AUSTIN ISD,Clayton Elementary School,881,27,0,140,Elementary,0.0
118,2014-2015,AUSTIN ISD,Blazier Elementary School,967,738,967,580,Elementary,100.0
119,2014-2015,AUSTIN ISD,Guerrero Thompson,690,675,2,615,Middle,0.2898550724637681
120,2014-2015,AUSTIN ISD,Baldwin Elementary School,742,85,0,176,Elementary,0.0
121,2014-2015,AUSTIN ISD,Padron Elementary School,693,676,224,603,Elementary,32.323232323232325
122,2014-2015,AUSTIN ISD,Overton Elementary School,650,623,650,503,Elementary,100.0
123,2014-2015,AUSTIN ISD,Perez Elementary School,804,739,804,579,Elementary,100.0
124,2014-2015,AUSTIN ISD,Dobie Pk Center,256,252,0,196,Other,0.0
125,2014-2015,AUSTIN ISD,Webb Pri Center,249,242,249,231,Elementary,100.0
126,2014-2015,AUSTIN ISD,Delementary Schooll Children'S Medical Center,2,0,0,2,Elementary,0.0
127,2014-2015,AUSTIN ISD,Austin St Hospital,20,0,0,20,High,0.0
128,2014-2015,AUSTIN ISD,Rosedale,239,94,0,132,Elementary,0.0
0,2015-2016,AUSTIN ISD,Austin High School,2084,597,15,871,High,0.7197696737044146
1,2015-2016,AUSTIN ISD,Lanier High School,1615,1407,1615,1247,High,100.0
2,2015-2016,AUSTIN ISD,Mccallum High School,1738,502,19,736,High,1.093210586881473
3,2015-2016,AUSTIN ISD,Reagan High School,1302,1040,1302,1001,High,100.0
4,2015-2016,AUSTIN ISD,Travis High School,1291,1059,1290,1008,High,99.92254066615027
5,2015-2016,AUSTIN ISD,Crockett High School,1462,870,38,894,High,2.5991792065663475
6,2015-2016,AUSTIN ISD,Anderson High School,2270,518,16,756,High,0.7048458149779736
7,2015-2016,AUSTIN ISD,Alternative Learning Center,116,94,2,110,High,1.7241379310344827
8,2015-2016,AUSTIN ISD,Bowie High School,2912,346,9,764,High,0.3090659340659341
9,2015-2016,AUSTIN ISD,Lbj Highigh Schoolchool,874,680,874,641,High,100.0
10,2015-2016,AUSTIN ISD,Garza Independence High School,192,56,8,154,High,4.166666666666667
11,2015-2016,AUSTIN ISD,Akins High School,2713,1798,43,1712,High,1.58496129745669
12,2015-2016,AUSTIN ISD,Lasa High School,1016,89,0,29,High,0.0
13,2015-2016,AUSTIN ISD,Eastside Memorial At The Johnston,551,479,551,458,High,100.0
14,2015-2016,AUSTIN ISD,Graduation Prep Academy Travis,123,95,6,119,Other,4.878048780487805
15,2015-2016,AUSTIN ISD,Graduation Prep Academy Lanier,124,98,10,120,Other,8.064516129032258
16,2015-2016,AUSTIN ISD,Travis County Day School,6,2,2,6,High,33.333333333333336
17,2015-2016,AUSTIN ISD,Richards Sch For Young Women Leade,787,457,0,122,High,0.0
18,2015-2016,AUSTIN ISD,International High School,294,284,12,291,High,4.081632653061225
19,2015-2016,AUSTIN ISD,Travis County Juvenile Detention C,41,20,2,41,Other,4.878048780487805
20,2015-2016,AUSTIN ISD,Phoenix Academy,34,5,2,34,High,5.882352941176471
21,2015-2016,AUSTIN ISD,Leadership Academy,27,13,0,27,High,0.0
22,2015-2016,AUSTIN ISD,Travis County J J A E P,2,2,0,2,Other,0.0
23,2015-2016,AUSTIN ISD,Fulmore Middle School,1007,684,1007,512,Middle,100.0
24,2015-2016,AUSTIN ISD,Kealing Middle School,1203,367,1203,287,Middle,100.0
25,2015-2016,AUSTIN ISD,Lamar Middle School,972,290,2,307,Middle,0.205761316872428
26,2015-2016,AUSTIN ISD,Burnet Middle School,1020,925,1020,815,Middle,100.0
27,2015-2016,AUSTIN ISD,O Henry Middle School,931,221,2,273,Middle,0.21482277121374865
