year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate,lat,lon,type,Street Address,ZIP,school_name
2016-2017,AUSTIN ISD,Uphaus Early Childhood Center,299,249,299,207,Elementary,100.0,,,,5200 FREIDRICH LN,78744.0,Uphaus Early Childhood Center
2016-2017,AUSTIN ISD,Jordan Elementary School,712,626,712,577,Elementary,100.0,30.301088,-97.646774,public,6711 JOHNNY MORRIS RD,78724.0,Jordan Elementary School
2016-2017,AUSTIN ISD,Davis Elementary School,815,172,2,303,Elementary,0.24539877300613494,30.418246999999997,-97.74218,public,5214 DUVAL RD,78727.0,Davis Elementary School
2016-2017,AUSTIN ISD,Kiker Elementary School,1049,28,0,192,Elementary,0.0,30.191557,-97.88125600000001,public,5913 LA CROSSE AVE,78739.0,Kiker Elementary School
2016-2017,AUSTIN ISD,Mills Elementary School,843,61,0,158,Elementary,0.0,30.210917,-97.8782,public,6201 DAVIS LN,78749.0,Mills Elementary School
2016-2017,AUSTIN ISD,Baranoff Elementary School,1020,118,2,222,Elementary,0.19607843137254904,30.153902000000002,-97.852165,public,12009 BUCKINGHAM GATE RD,78748.0,Baranoff Elementary School
2016-2017,AUSTIN ISD,Cowan Elementary School,839,246,268,246,Elementary,31.942789034564964,30.188688,-97.83348000000001,public,2817 KENTISH DR,78748.0,Cowan Elementary School
2016-2017,AUSTIN ISD,Clayton Elementary School,855,10,0,134,Elementary,0.0,30.194855,-97.906334,public,7525 LA CROSSE AVE,78739.0,Clayton Elementary School
2016-2017,AUSTIN ISD,Blazier Elementary School,813,572,813,454,Elementary,100.0,30.158,-97.754295,public,8601 NUCKOLS CROSSING RD,78744.0,Blazier Elementary School
2016-2017,AUSTIN ISD,Guerrero Thompson,667,545,667,601,Middle,100.0,30.363888,-97.691666,public,102 E RUNDBERG,78753.0,Guerrero Thompson
2016-2017,AUSTIN ISD,Baldwin Elementary School,794,88,0,183,Elementary,0.0,30.184890000000003,-97.923454,public,12200 MERIDIAN PARK BLVD,78739.0,Baldwin Elementary School
2016-2017,AUSTIN ISD,Padron Elementary School,797,647,797,701,Elementary,100.0,30.272375,-97.756516,public,1111 W 6TH ST,78703.0,Padron Elementary School
2016-2017,AUSTIN ISD,Overton Elementary School,667,566,667,543,Elementary,100.0,30.300186,-97.6367,public,7201 COLONY LOOP DR,78724.0,Overton Elementary School
2016-2017,AUSTIN ISD,Perez Elementary School,723,590,723,506,Elementary,100.0,30.17085,-97.75624,public,7500 S PLEASANT VLY RD,78744.0,Perez Elementary School
2016-2017,AUSTIN ISD,Dobie Pk Center,208,190,2,154,Other,0.9615384615384616,,,,1200 RUNDBERG LN,78753.0,Dobie Pk Center
2016-2017,AUSTIN ISD,Webb Pri Center,262,252,262,237,Elementary,100.0,,,,601 E ST JOHNS AVE,78752.0,Webb Pri Center
2016-2017,AUSTIN ISD,Austin Isd Child Develementary Schoolopment Cente,78,73,0,5,Elementary,0.0,,,,,,
2016-2017,AUSTIN ISD,Alternative Learning Center,107,74,2,107,High,1.8691588785046729,30.268434999999997,-97.71007,public,900 NEAL ST,78702.0,Alternative Learning Center
2016-2017,AUSTIN ISD,Travis County Day School,11,6,0,11,High,0.0,30.335696999999996,-97.68336,public,8011 CAMERON RD STE B,78754.0,Travis County Day School
2016-2017,AUSTIN ISD,Richards Sch For Young Women Leade,785,436,8,127,High,1.0191082802547768,,,,,,
2016-2017,AUSTIN ISD,Travis County Juvenile Detention C,44,23,0,44,Other,0.0,,,,,,
2016-2017,AUSTIN ISD,Phoenix Academy,34,5,0,34,High,0.0,30.24414,-97.75614,public,400 W LIVE OAK,78704.0,Phoenix Academy
2016-2017,AUSTIN ISD,Leadership Academy,40,24,0,40,High,0.0,30.235638,-97.75366,public,2515 S CONGRESS,78704.0,Leadership Academy
2016-2017,AUSTIN ISD,Travis County J J A E P,5,2,0,5,Other,0.0,,,,1111 W 6TH ST,78703.0,Travis County J J A E P
2016-2017,AUSTIN ISD,Delementary Schooll Children'S Medical Center,2,0,0,2,Elementary,0.0,,,,4900 MUELLER BLVD,78723.0,Delementary Schooll Children'S Medical Center
2016-2017,AUSTIN ISD,Austin St Hospital,23,0,0,23,High,0.0,30.272375,-97.756516,public,1111 W 6TH ST,78703.0,Austin St Hospital
2016-2017,AUSTIN ISD,Rosedale,210,77,0,122,Elementary,0.0,30.320051,-97.74019,public,2117 W 49TH ST,78756.0,Rosedale
2016-2017,AUSTIN ISD,Austin High School,2145,598,10,831,High,0.4662004662004662,30.273598,-97.76814,public,1715 W CESAR CHAVEZ,78703.0,Austin High School
2016-2017,AUSTIN ISD,Lanier High School,1659,1391,1659,1310,High,100.0,30.360209,-97.70832,public,1201 PEYTON GIN RD,78758.0,Lanier High School
2016-2017,AUSTIN ISD,Mccallum High School,1759,468,26,707,High,1.4781125639567936,30.327484000000002,-97.72887,public,5600 SUNSHINE DR,78756.0,Mccallum High School
2016-2017,AUSTIN ISD,Reagan High School,1255,1019,1255,950,High,100.0,30.324188,-97.69135,public,7104 BERKMAN DR,78752.0,Reagan High School
2016-2017,AUSTIN ISD,Travis High School,1332,1029,1332,1017,High,100.0,30.233839,-97.743256,public,1211 E OLTORF ST,78704.0,Travis High School
2016-2017,AUSTIN ISD,Crockett High School,1515,940,31,951,High,2.046204620462046,30.214724,-97.79739000000001,public,5601 MANCHACA RD,78745.0,Crockett High School
2016-2017,AUSTIN ISD,Anderson High School,2217,501,11,714,High,0.4961659900766802,30.37575,-97.75371,public,8403 MESA DR,78759.0,Anderson High School
2016-2017,AUSTIN ISD,Bowie High School,2894,345,11,715,High,0.38009675190048375,30.186369,-97.85873000000001,public,4103 SLAUGHTER LN,78749.0,Bowie High School
2016-2017,AUSTIN ISD,Lbj Highigh Schoolchool,804,624,804,537,High,100.0,,,,7309 LAZY CREEK DR,78724.0,Lbj Highigh Schoolchool
2016-2017,AUSTIN ISD,Garza Independence High School,205,69,11,171,High,5.365853658536587,30.277237,-97.72139,public,1600 CHICON,78702.0,Garza Independence High School
2016-2017,AUSTIN ISD,Akins High School,2680,1673,29,1590,High,1.082089552238806,30.148984999999996,-97.80185999999999,public,10701 S 1ST ST,78748.0,Akins High School
2016-2017,AUSTIN ISD,Lasa High School,1111,78,0,24,High,0.0,30.313496,-97.65666999999999,public,7309 LAZY CREEK DR,78724.0,Lasa High School
2016-2017,AUSTIN ISD,Eastside Memorial At The Johnston,553,471,553,451,High,100.0,,,,,,
2016-2017,AUSTIN ISD,Graduation Prep Academy Travis,157,131,17,155,Other,10.828025477707007,,,,1211 E OLTORF,78704.0,Graduation Prep Academy Travis
2016-2017,AUSTIN ISD,Graduation Prep Academy Lanier,122,91,7,121,Other,5.737704918032787,,,,1201 PAYTON GIN RD,78758.0,Graduation Prep Academy Lanier
2016-2017,AUSTIN ISD,International High School,261,250,18,220,High,6.896551724137932,30.257113,-97.68205999999999,public,1012 ARTHUR STILES,78721.0,International High School
2016-2017,AUSTIN ISD,Fulmore Middle School,1024,632,1024,534,Middle,100.0,30.243927000000003,-97.750465,public,201 E MARY ST,78704.0,Fulmore Middle School
2016-2017,AUSTIN ISD,Kealing Middle School,1224,326,1224,257,Middle,100.0,30.270937,-97.72178000000001,public,1607 PENNSYLVANIA AVE,78702.0,Kealing Middle School
2016-2017,AUSTIN ISD,Lamar Middle School,1015,252,9,315,Middle,0.8866995073891626,30.337774,-97.74058000000001,public,6201 WYNONA AVE,78757.0,Lamar Middle School
2016-2017,AUSTIN ISD,Burnet Middle School,1040,939,1040,874,Middle,100.0,30.365074,-97.7256,public,8401 HATHAWAY DR,78757.0,Burnet Middle School
2016-2017,AUSTIN ISD,O Henry Middle,867,230,2,291,Middle,0.2306805074971165,,,,2610 W 10TH ST,78703.0,O Henry Middle
2016-2017,AUSTIN ISD,Martin Middle,432,408,432,345,Middle,100.0,,,,1601 HASKELL ST,78702.0,Martin Middle
2016-2017,AUSTIN ISD,Murchison Middle,1328,296,0,440,Middle,0.0,,,,3700 N HILLS DR,78731.0,Murchison Middle
2016-2017,AUSTIN ISD,Webb Middle School,677,631,677,553,Middle,100.0,30.332413,-97.70740500000001,public,601 E ST JOHNS AVE,78752.0,Webb Middle School
2016-2017,AUSTIN ISD,Bedichek Middle,883,725,883,614,Middle,100.0,,,,6800 BILL HUGHES RD,78745.0,Bedichek Middle
2016-2017,AUSTIN ISD,Dobie Middle,598,540,598,503,Middle,100.0,,,,1200 RUNDBERG LN,78753.0,Dobie Middle
2016-2017,AUSTIN ISD,Covington Middle,615,386,7,344,Middle,1.1382113821138211,,,,3700 CONVICT HILL RD,78749.0,Covington Middle
2016-2017,AUSTIN ISD,Mendez Middle School,711,660,711,597,Middle,100.0,30.188675,-97.74306,public,5106 VILLAGE SQ DR,78744.0,Mendez Middle School
2016-2017,AUSTIN ISD,Bailey Middle School,899,272,8,302,Middle,0.8898776418242491,30.164225,-97.87241999999999,public,4020 LOST OASIS HOLLOW,78739.0,Bailey Middle School
2016-2017,AUSTIN ISD,Small Middle School,1179,322,5,425,Middle,0.4240882103477524,30.233706,-97.84200000000001,public,4801 MONTEREY OAKS BLVD,78749.0,Small Middle School
2016-2017,AUSTIN ISD,Paredes Middle School,957,698,957,604,Middle,100.0,30.165659,-97.81159,public,10100 S MARY MOORE SEARIGHT DR,78748.0,Paredes Middle School
2016-2017,AUSTIN ISD,Gorzycki Middle,1279,58,2,186,Middle,0.1563721657544957,,,,7412 SLAUGHTER LN,78749.0,Gorzycki Middle
2016-2017,AUSTIN ISD,Garcia Ymla,421,396,421,344,Other,100.0,30.311397999999997,-97.64303000000001,public,7414 JOHNNY MORRIS RD,78724.0,Garcia Ymla
2016-2017,AUSTIN ISD,Sadler Means Ywla,399,361,399,312,Middle,100.0,30.313578000000003,-97.68073000000001,public,6401 N HAMPTON DR,78723.0,Sadler Means Ywla
2017-2018,AUSTIN ISD,Allison Elementary School,479,458,479,362,Elementary,100.0,30.235784999999996,-97.69203,public,515 VARGAS RD,78741.0,Allison Elementary School
2017-2018,AUSTIN ISD,Andrews Elementary School,504,470,504,439,Elementary,100.0,30.317553999999998,-97.679665,public,6801 NE DR,78723.0,Andrews Elementary School
2017-2018,AUSTIN ISD,Barton Hills Elementary School,455,41,2,91,Elementary,0.4395604395604396,30.254395000000002,-97.78335600000001,public,2108 BARTON HILLS DR,78704.0,Barton Hills Elementary School
2017-2018,AUSTIN ISD,Becker Elementary School,437,139,437,169,Elementary,100.0,30.250395,-97.75945,public,906 W MILTON,78704.0,Becker Elementary School
2017-2018,AUSTIN ISD,Blackshear Elementary School,378,251,378,179,Elementary,100.0,30.266968,-97.72216999999999,public,1712 E 11TH ST,78702.0,Blackshear Elementary School
2017-2018,AUSTIN ISD,Blanton Elementary School,516,357,516,305,Elementary,100.0,30.306929999999998,-97.69063,public,5408 WESTMINSTER DR,78723.0,Blanton Elementary School
2017-2018,AUSTIN ISD,Brentwood Elementary School,675,131,2,171,Elementary,0.2962962962962963,30.339640000000003,-97.731445,public,6700 ARROYO SECO ST,78757.0,Brentwood Elementary School
2017-2018,AUSTIN ISD,Brooke Elementary School,246,240,246,166,Elementary,100.0,30.254821999999997,-97.70851,public,3100 E 4TH ST,78702.0,Brooke Elementary School
2017-2018,AUSTIN ISD,Brown Elementary School,272,269,272,229,Elementary,100.0,30.344769,-97.71034,public,505 W ANDERSON LN,78752.0,Brown Elementary School
2017-2018,AUSTIN ISD,Bryker Woods Elementary School,458,36,0,91,Elementary,0.0,30.304869,-97.750626,public,3309 KERBEY LN,78703.0,Bryker Woods Elementary School
2017-2018,AUSTIN ISD,Campbelementary Schooll Elementary School,187,167,187,118,Elementary,100.0,,,,2613 ROGERS AVE,78722.0,Campbelementary Schooll Elementary School
2017-2018,AUSTIN ISD,Casis Elementary School,765,20,2,87,Elementary,0.26143790849673204,30.304344,-97.76505,public,2710 EXPOSITION BLVD,78703.0,Casis Elementary School
2017-2018,AUSTIN ISD,Cunningham Elementary School,394,236,394,194,Elementary,100.0,30.210476,-97.80581,public,2200 BERKELEY AVE,78745.0,Cunningham Elementary School
2017-2018,AUSTIN ISD,Dawson Elementary School,352,258,352,193,Elementary,100.0,30.234061999999998,-97.76337,public,3001 S 1ST ST,78704.0,Dawson Elementary School
2017-2018,AUSTIN ISD,Daep- Elementary School,7,6,0,6,Elementary,0.0,,,,906 W MILTON,78704.0,Daep- Elementary School
2017-2018,AUSTIN ISD,Govalle Elementary School,408,388,408,314,Elementary,100.0,30.210511999999998,-97.65354,public,3601 VALLE AVE,78702.0,Govalle Elementary School
2017-2018,AUSTIN ISD,Gullett Elementary School,569,37,0,65,Elementary,0.0,30.343542,-97.74866999999999,public,6310 TREADWELL BLVD,78731.0,Gullett Elementary School
2017-2018,AUSTIN ISD,Harris Elementary School,630,614,630,499,Elementary,100.0,30.314829,-97.690765,public,1711 WHELESS LN,78723.0,Harris Elementary School
2017-2018,AUSTIN ISD,Highland Park Elementary School,641,36,2,87,Elementary,0.31201248049922,30.330692,-97.76005,public,4900 FAIRVIEW DR,78731.0,Highland Park Elementary School
2017-2018,AUSTIN ISD,Joslin Elementary School,282,193,282,154,Elementary,100.0,30.228037,-97.79054000000001,public,4500 MANCHACA RD,78745.0,Joslin Elementary School
2017-2018,AUSTIN ISD,Lee Elementary School,443,65,0,108,Elementary,0.0,30.29305,-97.72763,public,3308 HAMPTON RD,78705.0,Lee Elementary School
2017-2018,AUSTIN ISD,Maplewood Elementary School,485,182,17,189,Elementary,3.5051546391752577,30.293337,-97.714905,public,3808 MAPLEWOOD AVE,78722.0,Maplewood Elementary School
2017-2018,AUSTIN ISD,Mathews Elementary School,437,135,437,148,Elementary,100.0,30.278215000000003,-97.760796,public,906 W LYNN ST,78703.0,Mathews Elementary School
2017-2018,AUSTIN ISD,Metz Elementary School,285,253,285,203,Elementary,100.0,30.254284000000002,-97.721725,public,84 ROBERT MARTINEZ JR ST,78702.0,Metz Elementary School
2017-2018,AUSTIN ISD,Oak Springs Elementary School,322,319,322,174,Elementary,100.0,30.271786,-97.70484,public,3601 WEBBERVILLE RD,78702.0,Oak Springs Elementary School
2017-2018,AUSTIN ISD,Ortega Elementary School,276,244,276,169,Elementary,100.0,30.269996999999996,-97.68428,public,1135 GARLAND AVE,78721.0,Ortega Elementary School
2017-2018,AUSTIN ISD,Sanchez Elementary School,258,254,258,220,Elementary,100.0,30.257991999999998,-97.735054,public,73 SAN MARCOS ST,78702.0,Sanchez Elementary School
2017-2018,AUSTIN ISD,Pease Elementary School,233,36,2,48,Elementary,0.8583690987124464,30.275290999999996,-97.74803,public,1106 RIO GRANDE ST,78701.0,Pease Elementary School
2017-2018,AUSTIN ISD,Pecan Springs Elementary School,454,439,454,305,Elementary,100.0,30.303139,-97.676315,public,3100 ROGGE LN,78723.0,Pecan Springs Elementary School
2017-2018,AUSTIN ISD,Pleasant Hill Elementary School,465,420,465,297,Elementary,100.0,30.196213,-97.77649,public,6405 CIR S RD,78745.0,Pleasant Hill Elementary School
2017-2018,AUSTIN ISD,Read Pre-K Center,304,270,2,227,Other,0.6578947368421053,,,,2608 RICHCREEK RD,78757.0,Read Pre-K Center
2017-2018,AUSTIN ISD,Reilly Elementary School,238,181,238,188,Elementary,100.0,30.327883,-97.71982,public,405 DENSON DR,78752.0,Reilly Elementary School
2017-2018,AUSTIN ISD,Ridgetop Elementary School,371,116,371,148,Elementary,100.0,30.311796,-97.716255,public,5005 CASWELL AVE,78751.0,Ridgetop Elementary School
2017-2018,AUSTIN ISD,St Elementary Schoolmo Elementary School,297,246,297,195,Elementary,100.0,,,,600 W ST ELMO RD,78745.0,St Elementary Schoolmo Elementary School
2017-2018,AUSTIN ISD,Summitt Elementary School,844,249,7,380,Elementary,0.8293838862559242,30.418608000000003,-97.71907,public,12207 BRIGADOON LN,78727.0,Summitt Elementary School
2017-2018,AUSTIN ISD,Sims Elementary School,204,197,204,122,Elementary,100.0,30.27941,-97.6854,public,1203 SPRINGDALE RD,78721.0,Sims Elementary School
2017-2018,AUSTIN ISD,Travis Hts Elementary School,518,328,518,274,Elementary,100.0,,,,2010 ALAMEDA DR,78704.0,Travis Hts Elementary School
2017-2018,AUSTIN ISD,Walnut Creek Elementary School,642,606,642,555,Elementary,100.0,30.379194000000002,-97.68413000000001,public,401 W BRAKER LN,78753.0,Walnut Creek Elementary School
2017-2018,AUSTIN ISD,Patton Elementary School,984,215,2,354,Elementary,0.2032520325203252,30.2318,-97.84553000000001,public,6001 WESTCREEK DR,78749.0,Patton Elementary School
2017-2018,AUSTIN ISD,Wooten Elementary School,503,464,503,445,Elementary,100.0,30.352916999999998,-97.71915,public,1406 DALE DR,78757.0,Wooten Elementary School
2017-2018,AUSTIN ISD,Zavala Elementary School,298,286,298,177,Elementary,100.0,30.258271999999998,-97.71954000000001,public,310 ROBERT MARTINEZ JR ST,78702.0,Zavala Elementary School
2017-2018,AUSTIN ISD,Zilker Elementary School,550,106,15,145,Elementary,2.727272727272727,30.252544,-97.77457,public,1900 BLUEBONNET LN,78704.0,Zilker Elementary School
2017-2018,AUSTIN ISD,Menchaca Elementary School,717,302,717,315,Elementary,100.0,,,,P O BOX 759,78652.0,Menchaca Elementary School
2017-2018,AUSTIN ISD,Oak Hill Elementary School,868,339,868,408,Elementary,100.0,30.237990999999997,-97.858765,public,6101 PATTON RANCH RD,78735.0,Oak Hill Elementary School
2017-2018,AUSTIN ISD,Barrington Elementary School,547,536,547,461,Elementary,100.0,30.360529,-97.69606999999999,public,400 COOPER DR,78753.0,Barrington Elementary School
2017-2018,AUSTIN ISD,Norman Elementary School,192,187,192,112,Elementary,100.0,30.278323999999998,-97.67397,public,4001 TANNEHILL LN,78721.0,Norman Elementary School
2017-2018,AUSTIN ISD,Pillow Elementary School,519,385,519,342,Elementary,100.0,30.369263,-97.73339,public,3025 CROSSCREEK DR,78757.0,Pillow Elementary School
2017-2018,AUSTIN ISD,Wooldridge Elementary School,532,506,532,443,Elementary,100.0,30.364952000000002,-97.70985,public,1412 NORSEMAN TER,78758.0,Wooldridge Elementary School
2017-2018,AUSTIN ISD,Doss Elementary School,835,126,5,212,Elementary,0.5988023952095808,30.356087,-97.76281,public,7005 NORTHLEDGE DR,78731.0,Doss Elementary School
2017-2018,AUSTIN ISD,Hill Elementary School,954,66,2,209,Elementary,0.20964360587002093,30.376625,-97.74854,public,8601 TALLWOOD DR,78759.0,Hill Elementary School
2017-2018,AUSTIN ISD,Odom Elementary School,463,400,463,319,Elementary,100.0,30.20562,-97.78878,public,1010 TURTLE CREEK BLVD,78745.0,Odom Elementary School
2017-2018,AUSTIN ISD,Winn Elementary School,259,218,259,179,Elementary,100.0,30.314882,-97.66498,public,3500 SUSQUEHANNA LN,78723.0,Winn Elementary School
2017-2018,AUSTIN ISD,Sunset Valley Elementary School,543,271,543,288,Elementary,100.0,,,,3000 JONES RD,78745.0,Sunset Valley Elementary School
2017-2018,AUSTIN ISD,Graham Elementary School,610,507,610,461,Elementary,100.0,30.372359999999997,-97.66886,public,11211 TOM ADAMS DR,78753.0,Graham Elementary School
2017-2018,AUSTIN ISD,Linder Elementary School,306,287,306,225,Elementary,100.0,30.224209000000002,-97.73794000000001,public,2800 METCALFE RD,78741.0,Linder Elementary School
2017-2018,AUSTIN ISD,Cook Elementary School,453,420,453,390,Elementary,100.0,30.378002000000002,-97.70482,public,1511 CRIPPLE CREEK DR,78758.0,Cook Elementary School
2017-2018,AUSTIN ISD,Houston Elementary School,642,600,642,496,Elementary,100.0,30.196468,-97.75506999999999,public,5409 PONCIANA DR,78744.0,Houston Elementary School
2017-2018,AUSTIN ISD,Hart Elementary School,682,640,682,620,Elementary,100.0,30.342451,-97.68871,public,8301 FURNESS,78753.0,Hart Elementary School
2017-2018,AUSTIN ISD,Pickle Elementary School,544,529,544,495,Elementary,100.0,30.333408000000002,-97.693825,public,1101 WHEATLEY,78752.0,Pickle Elementary School
2017-2018,AUSTIN ISD,Mcbee Elementary School,395,373,395,344,Elementary,100.0,30.38325,-97.69106,public,1101 W BRAKER LN,78758.0,Mcbee Elementary School
2017-2018,AUSTIN ISD,Williams Elementary School,466,362,466,257,Elementary,100.0,30.180972999999998,-97.79151,public,500 MAIRO ST,78748.0,Williams Elementary School
2017-2018,AUSTIN ISD,Langford Elementary School,540,505,540,436,Elementary,100.0,30.182083000000002,-97.76337,public,2206 BLUE MEADOW DR,78744.0,Langford Elementary School
2017-2018,AUSTIN ISD,Boone Elementary School,535,225,535,194,Elementary,100.0,30.203723999999998,-97.840225,public,8101 CROFTWOOD RD,78749.0,Boone Elementary School
2017-2018,AUSTIN ISD,Palm Elementary School,449,386,449,292,Elementary,100.0,30.164824,-97.743675,public,7601 DIXIE DR,78744.0,Palm Elementary School
2017-2018,AUSTIN ISD,Kocurek Elementary School,578,384,578,272,Elementary,100.0,30.177746000000003,-97.83525,public,9800 CURLEW DR,78748.0,Kocurek Elementary School
2017-2018,AUSTIN ISD,Casey Elementary School,616,370,616,302,Elementary,100.0,30.177266999999997,-97.81461,public,9400 TEXAS OAKS DR,78748.0,Casey Elementary School
2017-2018,AUSTIN ISD,Rodriguez Elementary School,503,485,503,405,Elementary,100.0,30.200659,-97.74725,public,4400 FRANKLIN PARK DR,78744.0,Rodriguez Elementary School
2017-2018,AUSTIN ISD,Widen Elementary School,522,478,522,408,Elementary,100.0,30.188713,-97.74008,public,5605 NUCKOLS CROSSING RD,78744.0,Widen Elementary School
2017-2018,AUSTIN ISD,Galindo Elementary School,586,528,586,435,Elementary,100.0,30.229516999999998,-97.7719,public,3800 S 2ND ST,78704.0,Galindo Elementary School
2017-2018,AUSTIN ISD,Uphaus Early Childhood Center,340,306,340,231,Elementary,100.0,,,,5200 FREIDRICH LN,78744.0,Uphaus Early Childhood Center
2017-2018,AUSTIN ISD,Jordan Elementary School,662,620,662,549,Elementary,100.0,30.301088,-97.646774,public,6711 JOHNNY MORRIS RD,78724.0,Jordan Elementary School
2017-2018,AUSTIN ISD,Davis Elementary School,807,186,6,310,Elementary,0.7434944237918215,30.418246999999997,-97.74218,public,5214 DUVAL RD,78727.0,Davis Elementary School
2017-2018,AUSTIN ISD,Kiker Elementary School,1111,29,2,219,Elementary,0.18001800180018002,30.191557,-97.88125600000001,public,5913 LA CROSSE AVE,78739.0,Kiker Elementary School
2017-2018,AUSTIN ISD,Mills Elementary School,854,50,0,167,Elementary,0.0,30.210917,-97.8782,public,6201 DAVIS LN,78749.0,Mills Elementary School
2017-2018,AUSTIN ISD,Baranoff Elementary School,1014,118,7,235,Elementary,0.6903353057199211,30.153902000000002,-97.852165,public,12009 BUCKINGHAM GATE RD,78748.0,Baranoff Elementary School
2017-2018,AUSTIN ISD,Cowan Elementary School,841,257,19,268,Elementary,2.2592152199762188,30.188688,-97.83348000000001,public,2817 KENTISH DR,78748.0,Cowan Elementary School
2017-2018,AUSTIN ISD,Clayton Elementary School,838,12,0,134,Elementary,0.0,30.194855,-97.906334,public,7525 LA CROSSE AVE,78739.0,Clayton Elementary School
2017-2018,AUSTIN ISD,Blazier Elementary School,860,577,860,490,Elementary,100.0,30.158,-97.754295,public,8601 NUCKOLS CROSSING RD,78744.0,Blazier Elementary School
2017-2018,AUSTIN ISD,Guerrero Thompson,633,618,633,575,Middle,100.0,30.363888,-97.691666,public,102 E RUNDBERG,78753.0,Guerrero Thompson
2017-2018,AUSTIN ISD,Baldwin Elementary School,810,106,2,211,Elementary,0.2469135802469136,30.184890000000003,-97.923454,public,12200 MERIDIAN PARK BLVD,78739.0,Baldwin Elementary School
2017-2018,AUSTIN ISD,Padron Elementary School,759,718,759,691,Elementary,100.0,30.272375,-97.756516,public,1111 W 6TH ST,78703.0,Padron Elementary School
2017-2018,AUSTIN ISD,Overton Elementary School,559,519,559,456,Elementary,100.0,30.300186,-97.6367,public,7201 COLONY LOOP DR,78724.0,Overton Elementary School
2017-2018,AUSTIN ISD,Perez Elementary School,650,581,650,467,Elementary,100.0,30.17085,-97.75624,public,7500 S PLEASANT VLY RD,78744.0,Perez Elementary School
2017-2018,AUSTIN ISD,Dobie Pk Center,209,199,2,163,Other,0.9569377990430622,,,,1200 RUNDBERG LN,78753.0,Dobie Pk Center
2017-2018,AUSTIN ISD,Webb Pri Center,246,227,246,210,Elementary,100.0,,,,601 E ST JOHNS AVE,78752.0,Webb Pri Center
2017-2018,AUSTIN ISD,Austin Isd Child Develementary Schoolopment Cente,170,170,2,59,Elementary,1.1764705882352942,,,,,,
2017-2018,AUSTIN ISD,Alternative Learning Center,101,82,2,95,High,1.98019801980198,30.268434999999997,-97.71007,public,900 NEAL ST,78702.0,Alternative Learning Center
2017-2018,AUSTIN ISD,Travis County Day School,8,5,0,8,High,0.0,30.335696999999996,-97.68336,public,8011 CAMERON RD STE B,78754.0,Travis County Day School
2017-2018,AUSTIN ISD,Richards Sch For Young Women Leade,827,445,7,137,High,0.8464328899637243,,,,,,
2017-2018,AUSTIN ISD,Travis County Juvenile Detention C,35,15,0,35,Other,0.0,,,,,,
2017-2018,AUSTIN ISD,Phoenix Academy,19,2,0,19,High,0.0,30.24414,-97.75614,public,400 W LIVE OAK,78704.0,Phoenix Academy
2017-2018,AUSTIN ISD,Leadership Academy,16,2,0,16,High,0.0,30.235638,-97.75366,public,2515 S CONGRESS,78704.0,Leadership Academy
2017-2018,AUSTIN ISD,Travis County J J A E P,2,2,0,2,Other,0.0,,,,1111 W 6TH ST,78703.0,Travis County J J A E P
2017-2018,AUSTIN ISD,Austin St Hospital,16,2,0,16,High,0.0,30.272375,-97.756516,public,1111 W 6TH ST,78703.0,Austin St Hospital
2017-2018,AUSTIN ISD,Rosedale,232,73,2,126,Elementary,0.8620689655172413,30.320051,-97.74019,public,2117 W 49TH ST,78756.0,Rosedale
2017-2018,AUSTIN ISD,Austin High School,2267,544,22,810,High,0.9704455227172476,30.273598,-97.76814,public,1715 W CESAR CHAVEZ,78703.0,Austin High School
2017-2018,AUSTIN ISD,Lanier High School,1586,1322,1586,1227,High,100.0,30.360209,-97.70832,public,1201 PEYTON GIN RD,78758.0,Lanier High School
2017-2018,AUSTIN ISD,Mccallum High School,1761,387,9,575,High,0.5110732538330494,30.327484000000002,-97.72887,public,5600 SUNSHINE DR,78756.0,Mccallum High School
2017-2018,AUSTIN ISD,Reagan High School,1252,1051,1252,931,High,100.0,30.324188,-97.69135,public,7104 BERKMAN DR,78752.0,Reagan High School
2017-2018,AUSTIN ISD,Travis High School,1233,954,1233,878,High,100.0,30.233839,-97.743256,public,1211 E OLTORF ST,78704.0,Travis High School
2017-2018,AUSTIN ISD,Crockett High School,1466,897,45,846,High,3.0695770804911318,30.214724,-97.79739000000001,public,5601 MANCHACA RD,78745.0,Crockett High School
2017-2018,AUSTIN ISD,Anderson High School,2222,493,24,732,High,1.08010801080108,30.37575,-97.75371,public,8403 MESA DR,78759.0,Anderson High School
2017-2018,AUSTIN ISD,Bowie High School,2880,301,13,636,High,0.4513888888888889,30.186369,-97.85873000000001,public,4103 SLAUGHTER LN,78749.0,Bowie High School
2017-2018,AUSTIN ISD,Lbj Highigh Schoolchool,799,596,799,538,High,100.0,,,,7309 LAZY CREEK DR,78724.0,Lbj Highigh Schoolchool
2017-2018,AUSTIN ISD,Garza Independence High School,169,56,9,138,High,5.325443786982248,30.277237,-97.72139,public,1600 CHICON,78702.0,Garza Independence High School
2017-2018,AUSTIN ISD,Akins High School,2765,1691,44,1621,High,1.5913200723327303,30.148984999999996,-97.80185999999999,public,10701 S 1ST ST,78748.0,Akins High School
2017-2018,AUSTIN ISD,Lasa High School,1186,98,2,29,High,0.16863406408094436,30.313496,-97.65666999999999,public,7309 LAZY CREEK DR,78724.0,Lasa High School
2017-2018,AUSTIN ISD,Eastside Memorial At The Johnston,491,436,491,384,High,100.0,,,,,,
