year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate,lat,lon,type,Street Address,ZIP,school_name
2014-2015,AUSTIN ISD,St Elementary Schoolmo Elementary School,292,262,292,179,Elementary,100.0,,,,600 W ST ELMO RD,78745.0,St Elementary Schoolmo Elementary School
2014-2015,AUSTIN ISD,Summitt Elementary School,774,271,2,369,Elementary,0.25839793281653745,30.418608000000003,-97.71907,public,12207 BRIGADOON LN,78727.0,Summitt Elementary School
2014-2015,AUSTIN ISD,Sims Elementary School,228,217,228,139,Elementary,100.0,30.27941,-97.6854,public,1203 SPRINGDALE RD,78721.0,Sims Elementary School
2014-2015,AUSTIN ISD,Travis Hts Elementary School,498,363,498,306,Elementary,100.0,,,,2010 ALAMEDA DR,78704.0,Travis Hts Elementary School
2014-2015,AUSTIN ISD,Walnut Creek Elementary School,661,605,661,554,Elementary,100.0,30.379194000000002,-97.68413000000001,public,401 W BRAKER LN,78753.0,Walnut Creek Elementary School
2014-2015,AUSTIN ISD,Patton Elementary School,945,215,2,346,Elementary,0.21164021164021166,30.2318,-97.84553000000001,public,6001 WESTCREEK DR,78749.0,Patton Elementary School
2014-2015,AUSTIN ISD,Wooten Elementary School,725,683,725,628,Elementary,100.0,30.352916999999998,-97.71915,public,1406 DALE DR,78757.0,Wooten Elementary School
2014-2015,AUSTIN ISD,Zavala Elementary School,400,388,400,233,Elementary,100.0,30.258271999999998,-97.71954000000001,public,310 ROBERT MARTINEZ JR ST,78702.0,Zavala Elementary School
2014-2015,AUSTIN ISD,Zilker Elementary School,567,156,5,150,Elementary,0.8818342151675485,30.252544,-97.77457,public,1900 BLUEBONNET LN,78704.0,Zilker Elementary School
2014-2015,AUSTIN ISD,Menchaca Elementary School,717,354,33,279,Elementary,4.602510460251046,,,,P O BOX 759,78652.0,Menchaca Elementary School
2014-2015,AUSTIN ISD,Oak Hill Elementary School,803,330,282,366,Elementary,35.118306351183065,30.237990999999997,-97.858765,public,6101 PATTON RANCH RD,78735.0,Oak Hill Elementary School
2014-2015,AUSTIN ISD,Barrington Elementary School,588,571,588,477,Elementary,100.0,30.360529,-97.69606999999999,public,400 COOPER DR,78753.0,Barrington Elementary School
