"YEAR","CAMPUS NAME","CAMPUS NUMBER","DISTRICT NAME","DISTRICT NUMBER","GRADEGRP1X","REGION","COUNTY NUMBER","COUNTY NAME","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL ELL STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL HOMELESS STUDENTS","TOTAL DYSLEXIC STUDENTS"
"2016-2017","SUNSET VALLEY EL",227901158,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",533,55,0,218,378,10,269,533,309,-9999999,0,45,8,22
"2016-2017","GRAHAM EL",227901159,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",686,28,0,407,383,22,575,686,523,0,0,58,-9999999,21
"2016-2017","LINDER EL",227901160,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",320,7,0,170,138,31,296,320,245,0,0,49,8,12
"2016-2017","COOK EL",227901161,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",521,10,0,365,345,16,492,521,446,0,0,42,8,40
"2016-2017","HOUSTON EL",227901162,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",680,15,0,366,351,13,565,680,532,-9999999,-9999999,50,11,16
"2016-2017","HART EL",227901163,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",700,20,0,555,453,101,672,700,631,0,-9999999,62,15,33
"2016-2017","PICKLE EL",227901164,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",638,-9999999,0,499,478,20,577,638,570,0,0,39,21,10
"2016-2017","MCBEE EL",227901165,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",450,-9999999,0,351,336,13,424,450,397,0,0,67,-9999999,51
"2016-2017","WILLIAMS EL",227901166,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",458,20,0,120,96,16,355,458,255,-9999999,-9999999,85,7,26
"2016-2017","LANGFORD EL",227901168,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",619,13,0,403,373,29,581,619,520,-9999999,0,42,7,21
"2016-2017","BOONE EL",227901170,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",568,34,0,79,19,60,225,568,186,9,-9999999,72,8,35
"2016-2017","PALM EL",227901171,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",470,19,0,201,177,21,378,470,306,9,-9999999,45,9,18
"2016-2017","KOCUREK EL",227901172,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",539,20,0,99,76,21,334,539,244,-9999999,-9999999,60,7,29
