"YEAR","CAMPUS NAME","CAMPUS NUMBER","DISTRICT NAME","DISTRICT NUMBER","REGION","COUNTY NUMBER","COUNTY NAME","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL ELL STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"2015-2016","GUERRERO THOMPSON",227901186,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",673,10,0,591,506,82,655,673,624,0,0,52,6
"2015-2016","BALDWIN EL",227901187,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",787,67,0,81,42,37,103,-9999999,221,9,-9999999,82,23
"2015-2016","PADRON EL",227901188,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",772,10,0,579,544,33,754,772,668,0,-9999999,69,15
"2015-2016","OVERTON EL",227901189,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",718,6,0,448,422,21,675,718,600,0,0,57,27
"2015-2016","PEREZ EL",227901190,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",752,28,0,383,472,9,678,752,564,-9999999,0,75,26
"2015-2016","DOBIE PK CENTER",227901192,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",274,0,0,171,159,12,264,-9999999,173,-9999999,0,26,0
"2015-2016","WEBB PRI CENTER",227901193,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",217,-9999999,0,183,151,31,211,217,206,0,0,14,6
"2015-2016","AUSTIN ISD CHILD DEVELOPMENT CENTE",227901194,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",62,0,0,0,0,0,61,0,0,0,-9999999,0,0
"2015-2016","DELL CHILDREN'S MEDICAL CENTER",227901249,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",-9999999,0,0,0,0,0,0,0,-9999999,0,0,0,0
"2015-2016","AUSTIN ST HOSPITAL",227901250,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",19,0,-9999999,-9999999,0,-9999999,0,0,19,0,0,14,-9999999
"2015-2016","ROSEDALE",227901251,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",263,0,0,25,6,15,65,-9999999,128,0,0,228,13

