"SCOPE","AGGREGATION LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","CAMPUS NUMBER","CAMPUS NAME","COUNTY NUMBER","COUNTY NAME","REGION","TOTAL  ENROLLMENT","TOTAL  G & T  STUDENTS","TOTAL  CTE  STUDENTS","TOTAL  ELL  STUDENTS","TOTAL  BILINGUAL  STUDENTS","TOTAL  ESL  STUDENTS","TOTAL  ECONOMICALLY  DISADVANTAGED  STUDENTS","TOTAL  TITLE I  STUDENTS","TOTAL  AT RISK  STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"COUNTY","CAMPUS","2014-2015",227826,"MONTESSORI FOR ALL",227826101,"MAGNOLIA MONTESSORI FOR ALL",227,"TRAVIS COUNTY",13,276,0,0,64,0,64,125,275,116,-9999999,-9999999,9,0
"COUNTY","CAMPUS","2014-2015",227827,"THE EXCEL CENTER (FOR ADULTS)",227827001,"THE EXCEL CENTER (FOR ADULTS)",227,"TRAVIS COUNTY",13,132,0,6,0,0,0,106,0,46,0,0,0,0
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901000,"NOT APPLICABLE",227,"TRAVIS COUNTY",13,21,0,0,0,0,0,21,0,0,0,0,0,0
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901002,"AUSTIN H S",227,"TRAVIS COUNTY",13,2085,161,1109,53,0,51,599,11,792,0,0,183,143
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901004,"LANIER H S",227,"TRAVIS COUNTY",13,1619,52,1048,530,0,517,1386,1619,1220,-9999999,9,200,122
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901005,"MCCALLUM H S",227,"TRAVIS COUNTY",13,1648,261,776,65,0,58,524,33,677,0,0,157,106
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901006,"REAGAN H S",227,"TRAVIS COUNTY",13,1229,96,847,354,0,346,1012,1229,879,0,6,159,76
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901007,"TRAVIS H S",227,"TRAVIS COUNTY",13,1329,83,861,305,0,288,1138,1329,1019,0,0,200,150
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901008,"CROCKETT H S",227,"TRAVIS COUNTY",13,1498,125,639,149,0,142,993,19,847,6,-9999999,231,137
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901009,"ANDERSON H S",227,"TRAVIS COUNTY",13,2224,205,1106,109,0,100,594,11,718,15,0,147,104
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901012,"ALTERNATIVE LEARNING CENTER",227,"TRAVIS COUNTY",13,166,9,-9999999,36,0,36,134,9,166,0,-9999999,31,14
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901013,"BOWIE H S",227,"TRAVIS COUNTY",13,2871,257,1858,41,0,35,408,-9999999,729,-9999999,0,215,139
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901014,"LBJ HIGH SCHOOL",227,"TRAVIS COUNTY",13,853,77,684,150,0,139,711,853,572,0,0,114,74
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901015,"GARZA INDEPENDENCE H S",227,"TRAVIS COUNTY",13,190,7,35,8,0,7,79,15,150,0,0,9,10
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901017,"AKINS H S",227,"TRAVIS COUNTY",13,2667,195,2087,322,0,298,1847,11,1555,7,-9999999,289,221
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901018,"LASA H S",227,"TRAVIS COUNTY",13,1002,502,549,0,0,0,119,0,41,0,0,9,12
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901019,"EASTSIDE MEMORIAL AT THE JOHNSTON",227,"TRAVIS COUNTY",13,625,33,399,144,0,142,553,625,500,0,0,110,82
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901025,"PREMIER H S AT TRAVIS",227,"TRAVIS COUNTY",13,133,0,-9999999,28,0,27,92,-9999999,127,0,-9999999,12,7
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901026,"PREMIER H S AT LANIER",227,"TRAVIS COUNTY",13,122,0,-9999999,45,0,44,76,-9999999,113,0,0,16,5
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901027,"TRAVIS COUNTY DAY SCHOOL",227,"TRAVIS COUNTY",13,15,0,0,-9999999,0,-9999999,7,0,15,0,0,7,-9999999
