,Campus Name,2011-2012 Enrollment,2012-2013 Enrollment,2013-2014 Enrollment,2014-2015 Enrollment,2015-2016 Enrollment,2016-2017 Enrollment,2017-2018 Enrollment,2011 Enroll. Y-Y,2012 Enroll. Y-Y,2013 Enroll. Y-Y,2014 Enroll. Y-Y,2015 Enroll. Y-Y,2016 Enroll. Y-Y,2012,2013,2014,2015,2016,2017
49,HART EL,966.0,815.0,733.0,717.0,692.0,699.0,683.0,151.0,82.0,16.0,25.0,-7.0,16.0,-151.0,-233.0,-249.0,-274.0,-267.0,-283.0
50,HIGHLAND PARK EL,650.0,677.0,672.0,640.0,623.0,653.0,642.0,-27.0,5.0,32.0,17.0,-30.0,11.0,27.0,22.0,-10.0,-27.0,3.0,-8.0
51,HILL EL,769.0,800.0,842.0,890.0,970.0,939.0,954.0,-31.0,-42.0,-48.0,-80.0,31.0,-15.0,31.0,73.0,121.0,201.0,170.0,185.0
52,HOUSTON EL,898.0,857.0,789.0,765.0,705.0,680.0,643.0,41.0,68.0,24.0,60.0,25.0,37.0,-41.0,-109.0,-133.0,-193.0,-218.0,-255.0
53,INTERNATIONAL H S,146.0,198.0,268.0,368.0,294.0,261.0,191.0,-52.0,-70.0,-100.0,74.0,33.0,70.0,52.0,122.0,222.0,148.0,115.0,45.0
54,JORDAN EL,855.0,733.0,751.0,760.0,674.0,710.0,662.0,122.0,-18.0,-9.0,86.0,-36.0,48.0,-122.0,-104.0,-95.0,-181.0,-145.0,-193.0
55,JOSLIN EL,313.0,324.0,301.0,289.0,282.0,261.0,281.0,-11.0,23.0,12.0,7.0,21.0,-20.0,11.0,-12.0,-24.0,-31.0,-52.0,-32.0
56,KEALING M S,1215.0,1156.0,1130.0,1188.0,1203.0,1224.0,1223.0,59.0,26.0,-58.0,-15.0,-21.0,1.0,-59.0,-85.0,-27.0,-12.0,9.0,8.0
57,KIKER EL,944.0,983.0,980.0,1022.0,998.0,1049.0,1111.0,-39.0,3.0,-42.0,24.0,-51.0,-62.0,39.0,36.0,78.0,54.0,105.0,167.0
58,KOCUREK EL,660.0,596.0,544.0,539.0,489.0,539.0,578.0,64.0,52.0,5.0,50.0,-50.0,-39.0,-64.0,-116.0,-121.0,-171.0,-121.0,-82.0
59,LAMAR M S,565.0,588.0,740.0,895.0,972.0,1015.0,1130.0,-23.0,-152.0,-155.0,-77.0,-43.0,-115.0,23.0,175.0,330.0,407.0,450.0,565.0
60,LANGFORD EL,806.0,801.0,775.0,741.0,688.0,620.0,540.0,5.0,26.0,34.0,53.0,68.0,80.0,-5.0,-31.0,-65.0,-118.0,-186.0,-266.0
61,LANIER H S,1617.0,1489.0,1554.0,1619.0,1615.0,1659.0,1586.0,128.0,-65.0,-65.0,4.0,-44.0,73.0,-128.0,-63.0,2.0,-2.0,42.0,-31.0
62,LASA H S,907.0,962.0,974.0,1002.0,1016.0,1111.0,1186.0,-55.0,-12.0,-28.0,-14.0,-95.0,-75.0,55.0,67.0,95.0,109.0,204.0,279.0
63,LBJ HIGH SCHOOL,937.0,825.0,837.0,853.0,874.0,804.0,799.0,112.0,-12.0,-16.0,-21.0,70.0,5.0,-112.0,-100.0,-84.0,-63.0,-133.0,-138.0
64,LEADERSHIP ACADEMY,44.0,33.0,50.0,39.0,28.0,40.0,14.0,11.0,-17.0,11.0,11.0,-12.0,26.0,-11.0,6.0,-5.0,-16.0,-4.0,-30.0
65,LEE EL,405.0,386.0,372.0,390.0,375.0,403.0,444.0,19.0,14.0,-18.0,15.0,-28.0,-41.0,-19.0,-33.0,-15.0,-30.0,-2.0,39.0
66,LINDER EL,868.0,592.0,491.0,412.0,365.0,320.0,307.0,276.0,101.0,79.0,47.0,45.0,13.0,-276.0,-377.0,-456.0,-503.0,-548.0,-561.0
67,MAPLEWOOD EL,424.0,402.0,448.0,417.0,461.0,499.0,485.0,22.0,-46.0,31.0,-44.0,-38.0,14.0,-22.0,24.0,-7.0,37.0,75.0,61.0
68,MARTIN M S,605.0,551.0,595.0,555.0,456.0,0.0,0.0,54.0,-44.0,40.0,99.0,456.0,0.0,-54.0,-10.0,-50.0,-149.0,-605.0,-605.0
69,MATHEWS EL,385.0,383.0,401.0,411.0,425.0,442.0,437.0,2.0,-18.0,-10.0,-14.0,-17.0,5.0,-2.0,16.0,26.0,40.0,57.0,52.0
70,MCBEE EL,763.0,735.0,567.0,529.0,490.0,450.0,394.0,28.0,168.0,38.0,39.0,40.0,56.0,-28.0,-196.0,-234.0,-273.0,-313.0,-369.0
71,MCCALLUM H S,1720.0,1740.0,1613.0,1648.0,1738.0,1759.0,1761.0,-20.0,127.0,-35.0,-90.0,-21.0,-2.0,20.0,-107.0,-72.0,18.0,39.0,41.0
72,MENCHACA EL,695.0,707.0,727.0,717.0,719.0,740.0,717.0,-12.0,-20.0,10.0,-2.0,-21.0,23.0,12.0,32.0,22.0,24.0,45.0,22.0
73,MENDEZ M S,987.0,886.0,900.0,842.0,790.0,711.0,646.0,101.0,-14.0,58.0,52.0,79.0,65.0,-101.0,-87.0,-145.0,-197.0,-276.0,-341.0
74,METZ EL,520.0,496.0,416.0,359.0,305.0,306.0,285.0,24.0,80.0,57.0,54.0,-1.0,21.0,-24.0,-104.0,-161.0,-215.0,-214.0,-235.0
75,MILLS EL,913.0,896.0,830.0,800.0,812.0,843.0,854.0,17.0,66.0,30.0,-12.0,-31.0,-11.0,-17.0,-83.0,-113.0,-101.0,-70.0,-59.0
76,MURCHISON M S,1365.0,1471.0,1413.0,1363.0,0.0,0.0,0.0,-106.0,58.0,50.0,1363.0,0.0,0.0,106.0,48.0,-2.0,-1365.0,-1365.0,-1365.0
77,NORMAN EL,342.0,319.0,282.0,300.0,320.0,261.0,192.0,23.0,37.0,-18.0,-20.0,59.0,69.0,-23.0,-60.0,-42.0,-22.0,-81.0,-150.0
78,NOT APPLICABLE,25.0,0.0,22.0,21.0,26.0,0.0,0.0,25.0,-22.0,1.0,-5.0,26.0,0.0,-25.0,-3.0,-4.0,1.0,-25.0,-25.0
79,O HENRY M S,1021.0,1077.0,983.0,891.0,931.0,0.0,0.0,-56.0,94.0,92.0,-40.0,931.0,0.0,56.0,-38.0,-130.0,-90.0,-1021.0,-1021.0
80,OAK HILL EL,768.0,747.0,778.0,803.0,841.0,830.0,868.0,21.0,-31.0,-25.0,-38.0,11.0,-38.0,-21.0,10.0,35.0,73.0,62.0,100.0
81,OAK SPRINGS EL,279.0,263.0,295.0,306.0,331.0,324.0,322.0,16.0,-32.0,-11.0,-25.0,7.0,2.0,-16.0,16.0,27.0,52.0,45.0,43.0
82,ODOM EL,680.0,627.0,543.0,544.0,541.0,508.0,463.0,53.0,84.0,-1.0,3.0,33.0,45.0,-53.0,-137.0,-136.0,-139.0,-172.0,-217.0
83,ORTEGA EL,280.0,341.0,350.0,326.0,317.0,306.0,276.0,-61.0,-9.0,24.0,9.0,11.0,30.0,61.0,70.0,46.0,37.0,26.0,-4.0
84,OVERTON EL,773.0,735.0,692.0,650.0,716.0,668.0,557.0,38.0,43.0,42.0,-66.0,48.0,111.0,-38.0,-81.0,-123.0,-57.0,-105.0,-216.0
85,PALM EL,556.0,570.0,529.0,516.0,482.0,470.0,449.0,-14.0,41.0,13.0,34.0,12.0,21.0,14.0,-27.0,-40.0,-74.0,-86.0,-107.0
86,PAREDES M S,1037.0,1067.0,1092.0,1032.0,997.0,957.0,892.0,-30.0,-25.0,60.0,35.0,40.0,65.0,30.0,55.0,-5.0,-40.0,-80.0,-145.0
87,PATTON EL,998.0,1001.0,967.0,944.0,971.0,982.0,984.0,-3.0,34.0,23.0,-27.0,-11.0,-2.0,3.0,-31.0,-54.0,-27.0,-16.0,-14.0
88,PEARCE M S,550.0,496.0,465.0,0.0,0.0,0.0,0.0,54.0,31.0,465.0,0.0,0.0,0.0,-54.0,-85.0,-550.0,-550.0,-550.0,-550.0
89,PEASE EL,256.0,261.0,261.0,258.0,267.0,242.0,233.0,-5.0,0.0,3.0,-9.0,25.0,9.0,5.0,5.0,2.0,11.0,-14.0,-23.0
90,PECAN SPRINGS EL,474.0,482.0,486.0,452.0,464.0,468.0,455.0,-8.0,-4.0,34.0,-12.0,-4.0,13.0,8.0,12.0,-22.0,-10.0,-6.0,-19.0
91,PEREZ EL,900.0,847.0,871.0,804.0,752.0,723.0,650.0,53.0,-24.0,67.0,52.0,29.0,73.0,-53.0,-29.0,-96.0,-148.0,-177.0,-250.0
92,PHOENIX ACADEMY,32.0,29.0,23.0,33.0,34.0,34.0,16.0,3.0,6.0,-10.0,-1.0,0.0,18.0,-3.0,-9.0,1.0,2.0,2.0,-16.0
93,PICKLE EL,761.0,792.0,766.0,746.0,695.0,638.0,544.0,-31.0,26.0,20.0,51.0,57.0,94.0,31.0,5.0,-15.0,-66.0,-123.0,-217.0
94,PILLOW EL,678.0,688.0,571.0,582.0,518.0,509.0,519.0,-10.0,117.0,-11.0,64.0,9.0,-10.0,10.0,-107.0,-96.0,-160.0,-169.0,-159.0
95,PLEASANT HILL EL,607.0,541.0,545.0,527.0,567.0,503.0,466.0,66.0,-4.0,18.0,-40.0,64.0,37.0,-66.0,-62.0,-80.0,-40.0,-104.0,-141.0
96,READ PRE-K DEMONSTRATION SCH,463.0,524.0,460.0,314.0,0.0,0.0,0.0,-61.0,64.0,146.0,314.0,0.0,0.0,61.0,-3.0,-149.0,-463.0,-463.0,-463.0
97,REAGAN H S,970.0,1022.0,1141.0,1229.0,1302.0,1255.0,1252.0,-52.0,-119.0,-88.0,-73.0,47.0,3.0,52.0,171.0,259.0,332.0,285.0,282.0
98,REILLY EL,321.0,348.0,332.0,277.0,274.0,269.0,239.0,-27.0,16.0,55.0,3.0,5.0,30.0,27.0,11.0,-44.0,-47.0,-52.0,-82.0
99,RICHARDS SCH FOR YOUNG WOMEN LEADE,617.0,682.0,729.0,764.0,787.0,785.0,827.0,-65.0,-47.0,-35.0,-23.0,2.0,-42.0,65.0,112.0,147.0,170.0,168.0,210.0
100,RIDGETOP EL,293.0,302.0,285.0,302.0,292.0,331.0,371.0,-9.0,17.0,-17.0,10.0,-39.0,-40.0,9.0,-8.0,9.0,-1.0,38.0,78.0
101,RODRIGUEZ EL,936.0,902.0,883.0,793.0,701.0,591.0,503.0,34.0,19.0,90.0,92.0,110.0,88.0,-34.0,-53.0,-143.0,-235.0,-345.0,-433.0
102,ROSEDALE,182.0,201.0,216.0,237.0,261.0,208.0,228.0,-19.0,-15.0,-21.0,-24.0,53.0,-20.0,19.0,34.0,55.0,79.0,26.0,46.0
103,SANCHEZ EL,580.0,538.0,523.0,435.0,407.0,353.0,258.0,42.0,15.0,88.0,28.0,54.0,95.0,-42.0,-57.0,-145.0,-173.0,-227.0,-322.0
104,SIMS EL,305.0,293.0,252.0,228.0,267.0,231.0,203.0,12.0,41.0,24.0,-39.0,36.0,28.0,-12.0,-53.0,-77.0,-38.0,-74.0,-102.0
105,SMALL M S,923.0,1055.0,968.0,1003.0,1006.0,1179.0,1231.0,-132.0,87.0,-35.0,-3.0,-173.0,-52.0,132.0,45.0,80.0,83.0,256.0,308.0
106,ST ELMO EL,290.0,329.0,317.0,292.0,308.0,284.0,297.0,-39.0,12.0,25.0,-16.0,24.0,-13.0,39.0,27.0,2.0,18.0,-6.0,7.0
107,SUMMITT EL,746.0,804.0,773.0,773.0,815.0,833.0,843.0,-58.0,31.0,0.0,-42.0,-18.0,-10.0,58.0,27.0,27.0,69.0,87.0,97.0
108,SUNSET VALLEY EL,496.0,542.0,519.0,517.0,529.0,533.0,543.0,-46.0,23.0,2.0,-12.0,-4.0,-10.0,46.0,23.0,21.0,33.0,37.0,47.0
109,TRAVIS COUNTY DAY SCHOOL,21.0,20.0,26.0,13.0,7.0,13.0,8.0,1.0,-6.0,13.0,6.0,-6.0,5.0,-1.0,5.0,-8.0,-14.0,-8.0,-13.0
110,TRAVIS COUNTY J J A E P,6.0,10.0,8.0,6.0,4.0,8.0,4.0,-4.0,2.0,2.0,2.0,-4.0,4.0,4.0,2.0,0.0,-2.0,2.0,-2.0
111,TRAVIS COUNTY JUVENILE DETENTION C,26.0,54.0,53.0,59.0,40.0,46.0,35.0,-28.0,1.0,-6.0,19.0,-6.0,11.0,28.0,27.0,33.0,14.0,20.0,9.0
112,TRAVIS H S,1470.0,1358.0,1417.0,1329.0,1291.0,1332.0,1233.0,112.0,-59.0,88.0,38.0,-41.0,99.0,-112.0,-53.0,-141.0,-179.0,-138.0,-237.0
113,TRAVIS HTS EL,539.0,563.0,533.0,497.0,522.0,548.0,519.0,-24.0,30.0,36.0,-25.0,-26.0,29.0,24.0,-6.0,-42.0,-17.0,9.0,-20.0
114,WALNUT CREEK EL,922.0,910.0,661.0,661.0,634.0,605.0,640.0,12.0,249.0,0.0,27.0,29.0,-35.0,-12.0,-261.0,-261.0,-288.0,-317.0,-282.0
115,WEBB M S,663.0,681.0,651.0,691.0,699.0,677.0,664.0,-18.0,30.0,-40.0,-8.0,22.0,13.0,18.0,-12.0,28.0,36.0,14.0,1.0
116,WIDEN EL,741.0,692.0,663.0,589.0,564.0,558.0,522.0,49.0,29.0,74.0,25.0,6.0,36.0,-49.0,-78.0,-152.0,-177.0,-183.0,-219.0
117,WILLIAMS EL,624.0,590.0,552.0,513.0,458.0,458.0,466.0,34.0,38.0,39.0,55.0,0.0,-8.0,-34.0,-72.0,-111.0,-166.0,-166.0,-158.0
118,WINN EL,405.0,360.0,346.0,338.0,302.0,239.0,259.0,45.0,14.0,8.0,36.0,63.0,-20.0,-45.0,-59.0,-67.0,-103.0,-166.0,-146.0
119,WOOLDRIDGE EL,901.0,907.0,829.0,572.0,631.0,613.0,532.0,-6.0,78.0,257.0,-59.0,18.0,81.0,6.0,-72.0,-329.0,-270.0,-288.0,-369.0
120,WOOTEN EL,673.0,690.0,732.0,724.0,614.0,568.0,503.0,-17.0,-42.0,8.0,110.0,46.0,65.0,17.0,59.0,51.0,-59.0,-105.0,-170.0
121,ZAVALA EL,418.0,361.0,338.0,401.0,382.0,358.0,296.0,57.0,23.0,-63.0,19.0,24.0,62.0,-57.0,-80.0,-17.0,-36.0,-60.0,-122.0
122,ZILKER EL,534.0,529.0,548.0,567.0,538.0,561.0,549.0,5.0,-19.0,-19.0,29.0,-23.0,12.0,-5.0,14.0,33.0,4.0,27.0,15.0
123,DAEP- EL,0.0,6.0,6.0,12.0,13.0,6.0,9.0,-6.0,0.0,-6.0,-1.0,7.0,-3.0,6.0,6.0,12.0,13.0,6.0,9.0
124,DOBIE PK CENTER,0.0,267.0,307.0,256.0,274.0,208.0,209.0,-267.0,-40.0,51.0,-18.0,66.0,-1.0,267.0,307.0,256.0,274.0,208.0,209.0
