,name,gsId,type,gradeRange,enrollment,address,ncesId,lat,lon,gsRating,parentRating
192,Pearson Ranch Middle,19532,public,6-8,,"8901 Pearson Ranch Road, 
Austin, TX  78717",483808012299,30.496775,-97.75084,,
193,Adult Transition Services,24844,public,12,26,"1020 Walsh Tarlton Lane, 
Austin, TX  78746",,30.272945,-97.802,,
194,Dell Children's Medical Center,24678,public,PK-12,2,"4900 Mueller Boulevard, 
Austin, TX  78723",,30.303455,-97.707344,,
195,Sadler Means Ywla,25080,public,6-8,341,"6401 North Hampton Drive, 
Austin, TX  78723",,30.313578,-97.68073,2,
196,West Cypress Hills Elementary School,25154,public,PK-5,605,"3322 Ranch Road 620 South, 
Austin, TX  78738",,30.327839,-97.96536,9,
0,The Magellan International School,20124,private,PK-8,460,"7938 Great Northern Boulevard, 
Austin, TX  78731",A0990126,30.358206,-97.76095,,5
1,St. Paul Lutheran School,7495,private,PK-8,80,"3407 Red River Street, 
Austin, TX  78705",01326815,30.29324,-97.72531,,5
2,Holy Word Christian Academy,7545,private,K-8,8,"10601 Bluff Bend Drive, 
Austin, TX  78753",01328029,30.3685,-97.675385,,5
3,Maranatha Christian Academy,7749,private,K-10,,"8210 S 1st Street, 
Austin, TX  78748",02062768,30.18099,-97.795044,,5
4,Primavera Montessori School,19817,private,PK-4,130,"6405 Manchaca Rd., 
Austin, TX  78745",,30.207909,-97.804756,,5
5,Parkside Community School,7992,private,PK-6,135,"3702 W. Slaughter Lane , 
Austin, TX  78748",A9504131,30.1856,-97.85356,,5
6,Bais Menachem Hebrew Academy,8068,private,PK-6,,"2127 West Parmer Lane, 
Austin, TX  78727",A9703358,30.41608,-97.69663,,5
7,Paragon Prep School,8076,private,K-8,215,"2001 West Koenig Lane, 
Austin, TX  78756",A9703372,30.333954,-97.73803,,5
8,Huntington-Surrey High School,8367,private,8-12,40,"5206 Balcones Drive, 
Austin, TX  78756",A9106475,30.318382,-97.7376,,5
9,Brentwood Christian School,8479,private,PK-12,756,"11908 N Lamar Blvd, 
Austin, TX  78753",X1328754,30.39087,-97.68241,,5
10,St Francis School,10057,private,PK-8,403,"300 East Huntland Drive, 
Austin, TX  78752",A0503477,30.331245,-97.71006,,5
11,Headwaters School,10669,private,PK-12,542,"801 Rio Grande Street, 
Austin, TX  78701",A0503492,30.27195,-97.74842,,5
12,Griffin School,11581,private,9-12,125,"5001 Evans Ave., 
Austin, TX  78751",A0303144,30.312716,-97.71971,,5
13,TNS Academy,12005,private,K-5,30,"3901 Shoal Creek Blvd., 
Austin, TX  78756",A0790176,30.3098,-97.7483,,5
14,City School,12235,private,PK-6,90,"1844 Teri Rd, 
Austin, TX  78741",A0503465,30.204332,-97.75476,,5
15,Capitol School Of Austin,12241,private,PK-4,40,"2011 West Koenig Lane, 
Austin, TX  78756",A0503376,30.333742,-97.73906,,5
16,Brentwood Christian Secondary School,12499,private,10-12,,"11908 N Lamar Blvd, 
Austin, TX  78753",,30.39087,-97.68241,,5
17,Skybridge Academy,20086,private,6-12,40,"13317 Fitzhugh Rd, 
Austin, TX  78736",,30.231865,-98.001045,,5
18,Bluebonnet Montessori School of Lakeway,16170,private,PK-3,58,"15099 Debba Drive, 
Austin, TX  78734",A0771730,30.373077,-97.93844,,5
19,Southwest Austin Middle School,18787,private,6-8,10,"4021 So. Loop 360, 
Austin, TX  78704",,30.2392,-97.79944,,5
20,Austin Montessori Great Northern Campus,19664,private,PK-3,,"5006 Sunset Trail, 
Austin, TX  78745",A0792064,30.227676,-97.80505,,5
21,The Magnolia School,20137,private,PK-8 & ungraded,15,"2903 Ranch Road 620, 
Austin, TX  78734",,30.38985,-97.938255,,5
22,Clearview Sudbury School,20125,private,K-12,32,"1507 Wilshire Blvd., 
Austin, TX  78722",,30.29586,-97.71111,,5
23,Veritas Academy,20143,private,K-12,500,"4220 Monterey Oaks Blvd., 
Austin, TX  78749",,30.23015,-97.83225,,5
24,St Dominic Savio Catholic High School,20569,private,9-12,371,"9300 Neenah Avenue, 
Austin, TX  78717",A1190093,30.489943,-97.75919,,5
25,The Joule School,20796,private,PK-6,25,"3402 Little Elm Trail, 
Austin, TX  78752",,30.462997,-97.81732,,5
26,International School of Texas,20854,private,PK-6,120,"4402 Hudson Bend Road, 
Austin, TX  78734",,30.403622,-97.92939,,5
27,Mr Darcy's Class,21331,private,1-6,12,"8805 Tara Lane, 
Austin, TX  78737",,30.232285,-97.91796,,5
28,Lake Travis STEM Academy,24753,private,K-12,30,"3315 El Salido Pkwy, 
Austin, TX  78726",,30.360304,-97.69251,,5
29,ACE Academy,11998,private,PK-8,115,"3901 Shoal Creek Boulevard, 
Austin, TX  78756",A0790159,30.308155,-97.74721,,4
30,Cathedral School Of St Mary,7301,private,PK-8,188,"910 San Jacinto Boulevard, 
Austin, TX  78701",01323304,30.270283,-97.73932,,4
31,St Ignatius Martyr School,7302,private,PK-8,237,"120 West Oltorf Street, 
Austin, TX  78704",01323315,30.23927,-97.75429,,4
32,St Austin Catholic School,7303,private,PK-8,220,"1911 San Antonio Street, 
Austin, TX  78705",01323326,30.283016,-97.74282,,4
