,address,enrollment,gradeRange,gsId,gsRating,lat,level_0,lon,name,ncesId,parentRating,type
343,"8509 Farm to Market 969, 
Austin, TX  78724",,9-12,25309,,30.27235,343.0,-97.638405,KIPP Austin Brave,,,charter
344,"6700 Middle Fiskville Road, 
Austin, TX  78752",,8-12,25310,8,30.329008,344.0,-97.707436,Cedars Academy Next Generation H S at Highland,,,charter
345,"1700 East Slaughter Lane, 
Austin, TX  78744",,6-9,25331,6,30.153843,345.0,-97.769135,Idea Bluff Springs College Preparatory,480021113523,,charter
346,"1700 East Slaughter Lane, 
Austin, TX  78744",,K-5,25437,,30.153843,346.0,-97.769135,Idea Bluff Springs Academy,480021113510,,charter
347,"1015 Norwood Park Boulevard, 
Austin, TX  78753",,9-12,25447,,30.339088,347.0,-97.69408,Excel Center Lockhart,,,charter
348,"4800 Manor Road, 
Austin, TX  78723",,7-12,25584,,30.296387,348.0,-97.68996,Kozmetsky At Rathgeber Village,,,charter
349,"2200 East 6th Street, 
Austin, TX  78702",303,PK-5,10329,5,30.260305,0.0,-97.71761,University Of Texas Elementary Charter School,480025109530,5,charter
350,"6405 South Interstate 35 Frontage Road, 
Austin, TX  78744",693,PK-5,20396,3,30.191423,1.0,-97.767136,The Real Learning Academy,,5,charter
351,"8509 Farm to Market 969, 
Austin, TX  78724",603,PK-4,20400,4,30.27235,2.0,-97.638405,Kipp Austin Comunidad,480026412553,5,charter
352,"1701 Vargas Road, 
Austin, TX  78741",1374,K-5,24651,6,30.226158,3.0,-97.699524,IDEA Montopolis Academy,480021112928,5,charter
353,"6215 Manchaca Road, 
Austin, TX  78745",458,PK-5,78,6,30.209324,4.0,-97.80313,Eden Park Academy,480004408055,4,charter
354,"12301 North Lamar Boulevard, 
Austin, TX  78753",603,4-12,93,8,30.402246,5.0,-97.67847,Nyos Charter School,480005808056,4,charter
355,"14046 Summit Drive, 
Austin, TX  78728",388,K-12,99,9,30.43782,6.0,-97.691895,Chaparral Star Academy,480006408059,4,charter
356,"3613 Bluestein Drive, 
Austin, TX  78721",88,3-12,101,7,30.272999,7.0,-97.6724,Texas Empowerment Academy,480006608057,4,charter
357,"2010 Alameda Drive, 
Austin, TX  78704",495,PK-5,585,6,30.24143,8.0,-97.74596,Travis Heights Elementary School,480894000361,4,charter
358,"8416 North Interstate Highway 35, 
Austin, TX  78753",390,PK-7,9144,3,30.348295,9.0,-97.695366,Cedars International Academy,480023209075,4,charter
359,"1605 Kramer Lane, 
Austin, TX  78758",324,PK-3,9147,8,30.38466,10.0,-97.70277,Nyos - Magnolia Mccullough Campus,480005809070,4,charter
360,"9509 Farm to Market 969, 
Austin, TX  78724",431,5-8,10705,4,30.270355,11.0,-97.63019,Kipp Austin College Prep,480026411055,4,charter
361,"9303 Farm to Market 969, 
Austin, TX  78724",543,K-8,10900,4,30.267902,12.0,-97.63531,Austin Discovery School,480026511056,4,charter
362,"8509 Farm to Market 969, 
Austin, TX  78724",627,9-12,12099,7,30.27235,13.0,-97.638405,Kipp Austin Collegiate,480026411782,4,charter
363,"2100 East Saint Elmo Road, 
Austin, TX  78744",588,K-12,19893,5,30.210432,14.0,-97.746735,Harmony School of Excellence - Austin,480024112424,4,charter
364,"5908 Manor Road, 
Austin, TX  78723",671,6-12,20403,4,30.307661,15.0,-97.680504,Austin Achieve Public Schools,,4,charter
365,"5107 South Interstate 35 Frontage Road, 
Austin, TX  78744",473,K-4,24676,3,30.204409,16.0,-97.75847,KIPP Austin Obras,,4,charter
366,"1600 Payton Gin Road, 
Austin, TX  78758",35,6-12,8495,1,30.365156,17.0,-97.71341,Settlement Home,480007108383,3,charter
367,"930 East Rundberg Lane, 
Austin, TX  78753",562,PK-12,9423,5,30.357164,18.0,-97.684784,Harmony Science Academy - Austin,480024109409,3,charter
368,"13415 North FM 620, 
Austin, TX  78717",906,PK-12,20112,8,30.470375,19.0,-97.786705,Harmony School of Political Science and Communication - Austin,480024112787,3,charter
369,"8509 Farm to Market 969, 
Austin, TX  78724",427,5-8,19925,7,30.27235,20.0,-97.638405,Kipp Austin Academy Of Arts & Lett,480026412305,3,charter
370,"6414 North Hampton Drive, 
Austin, TX  78723",199,K-2,20006,4,30.314514,21.0,-97.68152,Texas Empowerment Academy Elementary School,480006612411,3,charter
371,"6002 Jain Lane, 
Austin, TX  78721",219,PK-5,20007,6,30.26109,22.0,-97.682686,The East Austin College Prep Acade,480141412335,2,charter
372,"11800 Stonehollow Drive, 
Austin, TX  78758",546,K-5,20397,4,30.400635,23.0,-97.70883,Harmony School of Science - Austin,480024112574,2,charter
373,"5800 East Martin Luther King Junior Boulevard, 
Austin, TX  78721",574,6-12,20402,3,30.287785,24.0,-97.66676,The East Austin College Prep At Ml,,1,charter
374,"2007 University Avenue, 
Austin, TX  78705",10,9-12,25112,4,30.283306,25.0,-97.73917,University High School,,,charter
375,"2200 East 6th Street, 
Austin, TX  78702",53,K-12,9366,1,30.260305,26.0,-97.71761,George M Kometzky School,480007109072,,charter
376,"5100 Pecan Brook Drive, 
Austin, TX  78724",475,PK-8,25022,3,30.317167,27.0,-97.65826,Magnolia Montessori For All,,,charter
377,"1106 West Dittmar Road, 
Austin, TX  78745",73,K-12,9929,1,30.18896,28.0,-97.8058,Tnc Campus (Texas Neurorehabilitat,480007109408,,charter
378,"3804 Avenue B, 
Austin, TX  78751",24,K-7,18838,,30.302364,29.0,-97.73645,Helping Hand,480007112104,,charter
379,"6405 South Interstate 35 Frontage Road, 
Austin, TX  78744",431,6-12,24673,3,30.191423,30.0,-97.767136,Sci-Tech Preparatory,,,charter
380,"8509 Farm to Market 969, 
Austin, TX  78724",426,5-8,20398,4,30.27235,31.0,-97.638405,Kipp Austin Beacon Prep,,,charter
381,"8509 Farm to Market 969, 
Austin, TX  78724",431,5-8,20399,4,30.27235,32.0,-97.638405,Kipp Austin Vista Middle Schools,,,charter
382,"8509 Farm to Market 969, 
Austin, TX  78724",601,PK-4,20401,3,30.27235,33.0,-97.638405,Kipp Austin Connections Elementary School,480026412559,,charter
383,"1211 East Oltorf Street, 
Austin, TX  78704",123,9-12,20405,1,30.233839,34.0,-97.743256,Premier High School At Travis,,,charter
384,"1201 Payton Gin Road, 
Austin, TX  78758",124,9-12,20406,1,30.360209,35.0,-97.70832,Premier High School At Lanier,,,charter
385,"1015 Norwood Park Boulevard, 
Austin, TX  78753",147,9-12,25102,,30.339088,36.0,-97.69408,The Excel Center (For Adults),,,charter
386,"1701 Vargas Road, 
Austin, TX  78741",1374,6-12,24649,7,30.226158,37.0,-97.699524,IDEA Montopolis College Preparatory,480021112940,,charter
387,"5107 South Interstate 35 Frontage Road, 
Austin, TX  78744",471,K-4,24677,3,30.204409,38.0,-97.75847,KIPP Austin Leadership Elementary School,,,charter
388,"3711 Shoreline Drive, 
Austin, TX  78728",,PK-9,24723,,30.457558,39.0,-97.688,Athlos Leadership Academy- Austin,480017912987,,charter
389,"2124 East Saint Elmo Road, 
Austin, TX  78744",468,K-5,24798,6,30.21006,40.0,-97.74532,Harmony School of Innovation,,,charter
390,"6405 South Interstate 35 Frontage Road, 
Austin, TX  78744",320,PK-4,24802,3,30.191423,41.0,-97.767136,Altamira Academy,,,charter
391,"1407 West Stassney Lane, 
Austin, TX  78745",3,K-12,24857,,30.21135,42.0,-97.792694,Austin Oaks,,,charter
392,"9504 North Interstate 35 Frontage Road, 
Austin, TX  78753",940,K-5,24980,6,30.360958,43.0,-97.687805,IDEA Rundberg Academy,480021113220,,charter
393,"9504 North Interstate 35 Frontage Road, 
Austin, TX  78753",940,6-10,24981,6,30.360958,44.0,-97.687805,IDEA Rundberg College Preparatory,,,charter
394,"1015 Norwood Park Boulevard, 
Austin, TX  78753",282,9-12,25244,,30.339088,45.0,-97.69408,The Excel Center,,,charter
395,"8509 Farm to Market 969, 
Austin, TX  78724",,9-12,25309,,30.27235,46.0,-97.638405,KIPP Austin Brave,,,charter
396,"6700 Middle Fiskville Road, 
Austin, TX  78752",,8-12,25310,8,30.329008,47.0,-97.707436,Cedars Academy Next Generation H S at Highland,,,charter
397,"1700 East Slaughter Lane, 
Austin, TX  78744",,6-9,25331,6,30.153843,48.0,-97.769135,Idea Bluff Springs College Preparatory,480021113523,,charter
398,"1700 East Slaughter Lane, 
Austin, TX  78744",,K-5,25437,,30.153843,49.0,-97.769135,Idea Bluff Springs Academy,480021113510,,charter
399,"1015 Norwood Park Boulevard, 
Austin, TX  78753",,9-12,25447,,30.339088,50.0,-97.69408,Excel Center Lockhart,,,charter
400,"4800 Manor Road, 
Austin, TX  78723",,7-12,25584,,30.296387,51.0,-97.68996,Kozmetsky At Rathgeber Village,,,charter
401,"2200 East 6th Street, 
Austin, TX  78702",303,PK-5,10329,5,30.260305,,-97.71761,University Of Texas Elementary Charter School,480025109530,5,charter
402,"6405 South Interstate 35 Frontage Road, 
Austin, TX  78744",693,PK-5,20396,3,30.191423,,-97.767136,The Real Learning Academy,,5,charter
403,"8509 Farm to Market 969, 
Austin, TX  78724",603,PK-4,20400,4,30.27235,,-97.638405,Kipp Austin Comunidad,480026412553,5,charter
404,"1701 Vargas Road, 
Austin, TX  78741",1374,K-5,24651,6,30.226158,,-97.699524,IDEA Montopolis Academy,480021112928,5,charter
405,"6215 Manchaca Road, 
Austin, TX  78745",458,PK-5,78,6,30.209324,,-97.80313,Eden Park Academy,480004408055,4,charter
406,"12301 North Lamar Boulevard, 
Austin, TX  78753",603,4-12,93,8,30.402246,,-97.67847,Nyos Charter School,480005808056,4,charter
407,"14046 Summit Drive, 
Austin, TX  78728",388,K-12,99,9,30.43782,,-97.691895,Chaparral Star Academy,480006408059,4,charter
408,"3613 Bluestein Drive, 
Austin, TX  78721",88,3-12,101,7,30.272999,,-97.6724,Texas Empowerment Academy,480006608057,4,charter
409,"2010 Alameda Drive, 
Austin, TX  78704",495,PK-5,585,6,30.24143,,-97.74596,Travis Heights Elementary School,480894000361,4,charter
410,"8416 North Interstate Highway 35, 
Austin, TX  78753",390,PK-7,9144,3,30.348295,,-97.695366,Cedars International Academy,480023209075,4,charter
411,"1605 Kramer Lane, 
Austin, TX  78758",324,PK-3,9147,8,30.38466,,-97.70277,Nyos - Magnolia Mccullough Campus,480005809070,4,charter
412,"9509 Farm to Market 969, 
Austin, TX  78724",431,5-8,10705,4,30.270355,,-97.63019,Kipp Austin College Prep,480026411055,4,charter
413,"9303 Farm to Market 969, 
Austin, TX  78724",543,K-8,10900,4,30.267902,,-97.63531,Austin Discovery School,480026511056,4,charter
414,"8509 Farm to Market 969, 
Austin, TX  78724",627,9-12,12099,7,30.27235,,-97.638405,Kipp Austin Collegiate,480026411782,4,charter
415,"2100 East Saint Elmo Road, 
Austin, TX  78744",588,K-12,19893,5,30.210432,,-97.746735,Harmony School of Excellence - Austin,480024112424,4,charter
416,"5908 Manor Road, 
Austin, TX  78723",671,6-12,20403,4,30.307661,,-97.680504,Austin Achieve Public Schools,,4,charter
417,"5107 South Interstate 35 Frontage Road, 
Austin, TX  78744",473,K-4,24676,3,30.204409,,-97.75847,KIPP Austin Obras,,4,charter
418,"1600 Payton Gin Road, 
Austin, TX  78758",35,6-12,8495,1,30.365156,,-97.71341,Settlement Home,480007108383,3,charter
419,"930 East Rundberg Lane, 
Austin, TX  78753",562,PK-12,9423,5,30.357164,,-97.684784,Harmony Science Academy - Austin,480024109409,3,charter
420,"13415 North FM 620, 
Austin, TX  78717",906,PK-12,20112,8,30.470375,,-97.786705,Harmony School of Political Science and Communication - Austin,480024112787,3,charter
421,"8509 Farm to Market 969, 
Austin, TX  78724",427,5-8,19925,7,30.27235,,-97.638405,Kipp Austin Academy Of Arts & Lett,480026412305,3,charter
422,"6414 North Hampton Drive, 
Austin, TX  78723",199,K-2,20006,4,30.314514,,-97.68152,Texas Empowerment Academy Elementary School,480006612411,3,charter
423,"6002 Jain Lane, 
Austin, TX  78721",219,PK-5,20007,6,30.26109,,-97.682686,The East Austin College Prep Acade,480141412335,2,charter
424,"11800 Stonehollow Drive, 
Austin, TX  78758",546,K-5,20397,4,30.400635,,-97.70883,Harmony School of Science - Austin,480024112574,2,charter
425,"5800 East Martin Luther King Junior Boulevard, 
Austin, TX  78721",574,6-12,20402,3,30.287785,,-97.66676,The East Austin College Prep At Ml,,1,charter
