,address,enrollment,gradeRange,gsId,gsRating,lat,level_0,lon,name,ncesId,parentRating,type
210,"3901 Shoal Creek Blvd., 
Austin, TX  78756",30,K-5,12005,,30.3098,210.0,-97.7483,TNS Academy,A0790176,5,private
211,"1844 Teri Rd, 
Austin, TX  78741",90,PK-6,12235,,30.204332,211.0,-97.75476,City School,A0503465,5,private
212,"2011 West Koenig Lane, 
Austin, TX  78756",40,PK-4,12241,,30.333742,212.0,-97.73906,Capitol School Of Austin,A0503376,5,private
213,"11908 N Lamar Blvd, 
Austin, TX  78753",,10-12,12499,,30.39087,213.0,-97.68241,Brentwood Christian Secondary School,,5,private
214,"13317 Fitzhugh Rd, 
Austin, TX  78736",40,6-12,20086,,30.231865,214.0,-98.001045,Skybridge Academy,,5,private
215,"15099 Debba Drive, 
Austin, TX  78734",58,PK-3,16170,,30.373077,215.0,-97.93844,Bluebonnet Montessori School of Lakeway,A0771730,5,private
216,"4021 So. Loop 360, 
Austin, TX  78704",10,6-8,18787,,30.2392,216.0,-97.79944,Southwest Austin Middle School,,5,private
217,"5006 Sunset Trail, 
Austin, TX  78745",,PK-3,19664,,30.227676,217.0,-97.80505,Austin Montessori Great Northern Campus,A0792064,5,private
218,"2903 Ranch Road 620, 
Austin, TX  78734",15,PK-8 & ungraded,20137,,30.38985,218.0,-97.938255,The Magnolia School,,5,private
219,"1507 Wilshire Blvd., 
Austin, TX  78722",32,K-12,20125,,30.29586,219.0,-97.71111,Clearview Sudbury School,,5,private
220,"4220 Monterey Oaks Blvd., 
Austin, TX  78749",500,K-12,20143,,30.23015,220.0,-97.83225,Veritas Academy,,5,private
221,"9300 Neenah Avenue, 
Austin, TX  78717",371,9-12,20569,,30.489943,221.0,-97.75919,St Dominic Savio Catholic High School,A1190093,5,private
222,"3402 Little Elm Trail, 
Austin, TX  78752",25,PK-6,20796,,30.462997,222.0,-97.81732,The Joule School,,5,private
223,"4402 Hudson Bend Road, 
Austin, TX  78734",120,PK-6,20854,,30.403622,223.0,-97.92939,International School of Texas,,5,private
224,"8805 Tara Lane, 
Austin, TX  78737",12,1-6,21331,,30.232285,224.0,-97.91796,Mr Darcy's Class,,5,private
225,"3315 El Salido Pkwy, 
Austin, TX  78726",30,K-12,24753,,30.360304,225.0,-97.69251,Lake Travis STEM Academy,,5,private
226,"3901 Shoal Creek Boulevard, 
Austin, TX  78756",115,PK-8,11998,,30.308155,226.0,-97.74721,ACE Academy,A0790159,4,private
227,"910 San Jacinto Boulevard, 
Austin, TX  78701",188,PK-8,7301,,30.270283,227.0,-97.73932,Cathedral School Of St Mary,01323304,4,private
228,"120 West Oltorf Street, 
Austin, TX  78704",237,PK-8,7302,,30.23927,228.0,-97.75429,St Ignatius Martyr School,01323315,4,private
229,"1911 San Antonio Street, 
Austin, TX  78705",220,PK-8,7303,,30.283016,229.0,-97.74282,St Austin Catholic School,01323326,4,private
230,"2114 Saint Joseph Boulevard, 
Austin, TX  78757",241,PK-8,7305,,30.35219,230.0,-97.733,St Louis School,01323348,4,private
231,"4001 Speedway Ave, 
Austin, TX  78751",65,K-8,18793,,30.30318,231.0,-97.73161,AHB Community School,A0903480,4,private
232,"6500 Saint Stephens Drive, 
Austin, TX  78746",688,6-12,7447,,30.331476,232.0,-97.815834,St Stephens Episcopal School,01325924,4,private
233,"1112 W 31st St, 
Austin, TX  78705",890,K-12,7448,,30.301983,233.0,-97.748276,St. Andrew's Episcopal School,01325935,4,private
234,"1500 West Anderson Lane, 
Austin, TX  78757",508,PK-8,7479,,30.352537,234.0,-97.72068,Redeemer Lutheran School,01326553,4,private
235,"6414 N Hampton Dr, 
Austin, TX  78723",,K-7,7492,,30.31469,235.0,-97.6811,Hope Lutheran School,01326757,4,private
236,"14401 Owen-Tech Boulevard, 
Austin, TX  78728",187,PK-12,20704,,30.434893,236.0,-97.67047,Renaissance Academy,A0903600,4,private
237,"5006 Sunset Trail, 
Austin, TX  78745",350,PK-9,7587,,30.227676,237.0,-97.80505,Austin Montessori School,01329215,4,private
238,"306 W 29th St, 
Austin, TX  78705",86,PK-12,7627,,30.294388,238.0,-97.74036,Kirby Hall School,01635007,4,private
239,"3000 Barton Creek Blvd, 
Austin, TX  78735",364,9-12,7755,,30.2864,239.0,-97.8749,St. Michael's Catholic Academy,02121737,4,private
240,"4311 Small Drive, 
Austin, TX  78731",390,PK-8,7771,,30.342485,240.0,-97.77419,St. Theresas Catholic School,02186149,4,private
241,"7100 Brodie Ln, 
Austin, TX  78745",100,PK-5,7781,,30.212337,241.0,-97.8324,Bannockburn Christian Academy,A9106430,4,private
242,"2825 Hancock Drive, 
Austin, TX  78731",149,PK-4,7789,,30.327642,242.0,-97.7507,The Children's School,A9106444,4,private
243,"1513 East Yager Lane, 
Austin, TX  78753",53,PK-5,7808,,30.386408,243.0,-97.65198,Our Savior Lutheran School,A9106495,4,private
244,"P.O. Box 150413, 
Austin, TX  78715",180,PK-8,7816,,30.447,244.0,-97.749,Strickland School,A9106521,4,private
245,"8700 South View Road, 
Austin, TX  78737",388,K-12,7925,,30.231415,245.0,-97.912796,Austin Waldorf School,A9503923,4,private
246,"12124 Ranch Rd 620 N, 
Austin, TX  78750",619,PK-12,8055,,30.461445,246.0,-97.81817,Hill Country Christian School,A9703332,4,private
247,"7300 Hart Lane, 
Austin, TX  78731",130,K-8,8096,,30.357513,247.0,-97.75502,Austin Jewish Academy,A9707912,4,private
248,"2301 Shoal Creek Boulevard, 
Austin, TX  78705",,K-3,8109,,30.2874,248.0,-97.7519,The Isely School,A9707982,4,private
249,"3901 Speedway, 
Austin, TX  78751",,K-5,8339,,30.302164,249.0,-97.731804,Hyde Park Baptist Elementary School,XA000240,4,private
250,"3901 Speedway, 
Austin, TX  78751",622,K-12,8352,,30.302217,250.0,-97.73187,Hyde Park Baptist School,YA000240,4,private
251,"9400 Neenah Avenue, 
Austin, TX  78717",560,PK-8,10514,,30.489832,251.0,-97.76092,Holy Family Catholic School,A0109405,4,private
252,"5110 Manor Road, 
Austin, TX  78723",575,PK-12,8422,,30.299353,252.0,-97.686516,Austin Peace Academy,A9904272,4,private
253,"2500 Wimberly Ln, 
Austin, TX  78735",457,PK-8,8428,,30.292027,253.0,-97.8712,St. Gabriel's Catholic School,A9904286,4,private
254,"4001 Adelphi Lane, 
Austin, TX  78727",199,PK-5,10049,,30.42242,254.0,-97.71807,Austin International School,A0771724,4,private
255,"3901 Bee Cave Road, 
Austin, TX  78746",496,K-8,10662,,30.2815,255.0,-97.8086,Trinity Episcopal School of AU,A0303153,4,private
256,"3230 Travis Country Circle, 
Austin, TX  78735",1011,K-12,11519,,30.254488,256.0,-97.84532,Regents School Of Austin,A0109452,4,private
257,"800 Herndon Lane, 
Austin, TX  78704",152,8-12,11555,,30.240438,257.0,-97.763725,San Juan Diego Catholic High School,A0303094,4,private
258,"2007 McCall Road, 
Austin, TX  78703",150,K-8,11996,,30.292788,258.0,-97.76355,Girls' School Of Austin,A0503406,4,private
259,"2614A Exposition Boulevard, 
Austin, TX  78703",175,1-12,12409,,30.301817,259.0,-97.765114,Rawson Saunders,A0702262,4,private
260,"11400 North Mopac, 
Austin, TX  78759",550,"6, 9-12",12476,,30.40086,260.0,-97.730064,Hyde Park Baptist High School,,4,private
261,"9704 Circle Drive, 
Austin, TX  78736",,n/a,13016,,30.244003,261.0,-97.923386,Cedars Montessori School,A0790163,4,private
262,"8807 Manchaca Road, 
Austin, TX  78748",40,PK-1,24327,,30.18366,262.0,-97.817055,Austin Children's Montessori,A0771723,3,private
263,"15201 Burnet Road, 
Austin, TX  78728",,PK-7,11575,,30.45918,263.0,-97.69389,Shoreline Christian School,A0303129,3,private
264,"4407 Red River Street, 
Austin, TX  78751",40,5-12,11858,,30.304052,264.0,-97.71981,Odyssey School,A0503453,3,private
265,"1407 W Stassney Lane, 
Austin, TX  78745",,6-12,7559,,30.2121,265.0,-97.7908,The Oaks School,01328426,2,private
266,"301 W Anderson Ln, 
Austin, TX  78752",,K-10,7598,,30.344398,266.0,-97.70773,Austin SDA Junior Academy,01329678,1,private
267,"1701 N. Congress Avenue, 
Austin, TX  78701",,K-12,20118,,30.278719,267.0,-97.73881,K12 International Academy,,1,private
268,"13740 Research Blvd., 
Austin, TX  78750",12,K-2,20136,,30.45932,268.0,-97.794205,Schoolhouse Academy,,,private
269,"8432 Jamestown Drive, 
Austin, TX  78758",5,1-3,18785,,30.355415,269.0,-97.709785,House Sparrows Academy,,,private
270,"5911 Reicher Drive, 
Austin, TX  78723",,PK-6,7293,,30.303,270.0,-97.6774,Sacred Heart Catholic School,01323199,,private
271,"Po Box 90517, 
Austin, TX  78709",,PK-12,20730,,30.23,271.0,-97.85,Veritas Academy,A0990128,,private
272,"4105 Manchaca Rd., 
Austin, TX  78704",32,K-9,24785,,30.231419,272.0,-97.787,Austin Village Academy,,,private
273,"5800 E Martin Luther King Jr, 
Austin, TX  78721",,PK-6,8424,,30.2861,273.0,-97.6676,Praise Christian Academy,A9904274,,private
274,"4413 Spicewood Springs Rd, 
Austin, TX  78759",,K-6,10048,,30.3727,274.0,-97.7586,Kamico Academy,,,private
275,"2201 Alexander Avenue, 
Austin, TX  78722",42,2-12,20103,,30.284405,275.0,-97.70996,Acton Academy,,,private
276,"11530 Manchaca Road, 
Austin, TX  78748",,PK-5,20667,,30.152407,276.0,-97.83523,Jackie's Performing Arts & Private Education,A0903533,,private
277,"6510 Berkman Drive, 
Austin, TX  78723",11,K-6,24371,,30.319225,277.0,-97.69028,Greater Calvary Academy,A1102167,,private
278,"1701 N. Congress Avenue, 
Austin, TX  78701",,6-12,20119,,30.278719,278.0,-97.73881,The Keystone School,,,private
279,"3838 Steck Avenue, 
Austin, TX  78759",84,PK-1,12290,,30.373693,279.0,-97.75005,Casner Christian Academy,A0503418,,private
280,"7010 Village Center Dr, 
Austin, TX  78731",,PK-8,12308,,30.35242,280.0,-97.7568,Boys Menachem Hebrew Academy,A0503443,,private
281,"P.O. Box 92737, 
Austin, TX  78709",,"K-3, 5-10, 12",19663,,30.2669,281.0,-97.7428,Austin City Academy,A0702187,,private
