Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2015-2016

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"STATE","DISTRICT","2015-2016",015815,"RADIANCE ACADEMY OF LEARNING",20,501,0,209,152,0,152,359,501,434,-9999999,0,26,9
"STATE","DISTRICT","2015-2016",015816,"ACADEMY OF CAREERS AND TECHNOLOGIE",20,193,-9999999,191,5,0,5,128,177,188,0,0,11,0
"STATE","DISTRICT","2015-2016",015819,"SHEKINAH RADIANCE ACADEMY",20,486,6,51,32,0,30,369,305,398,-9999999,0,41,17
"STATE","DISTRICT","2015-2016",015820,"SAN ANTONIO SCHOOL FOR INQUIRY & C",20,515,0,286,0,0,0,509,507,373,0,0,58,0
"STATE","DISTRICT","2015-2016",015822,"JUBILEE ACADEMIC CENTER",20,4598,183,88,839,363,401,2927,3920,2363,14,19,301,114
"STATE","DISTRICT","2015-2016",015825,"LIGHTHOUSE CHARTER SCHOOL",20,287,-9999999,0,75,0,75,249,287,150,11,0,25,0
"STATE","DISTRICT","2015-2016",015826,"KIPP SAN ANTONIO",20,2442,0,29,629,780,339,2114,2334,1401,7,0,192,32
"STATE","DISTRICT","2015-2016",015827,"SCHOOL OF SCIENCE AND TECHNOLOGY",20,863,82,69,53,0,53,503,863,274,0,0,63,18
"STATE","DISTRICT","2015-2016",015828,"HARMONY SCIENCE ACAD (SAN ANTONIO)",20,3513,229,692,750,0,667,2537,2959,1517,0,0,177,49
"STATE","DISTRICT","2015-2016",015830,"BROOKS ACADEMY OF SCIENCE AND ENGI",20,1785,59,881,152,44,95,1148,1785,1064,29,-9999999,78,17
"STATE","DISTRICT","2015-2016",015831,"SCHOOL OF SCIENCE AND TECHNOLOGY D",20,1180,94,49,68,0,67,712,1180,302,0,0,90,31
"STATE","DISTRICT","2015-2016",015833,"HENRY FORD ACADEMY ALAMEDA SCHOOL",20,126,0,61,-9999999,0,0,71,126,64,-9999999,0,14,0
"STATE","DISTRICT","2015-2016",015834,"BASIS TEXAS",20,1305,0,0,7,0,7,88,0,79,0,-9999999,16,0
"STATE","DISTRICT","2015-2016",015835,"GREAT HEARTS TEXAS",20,2009,0,0,109,0,90,293,0,175,74,0,66,19
"STATE","DISTRICT","2015-2016",015836,"ELEANOR KOLITZ HEBREW LANGUAGE ACA",20,280,0,0,10,0,10,40,0,81,14,0,6,5
"STATE","DISTRICT","2015-2016",015837,"CARPE DIEM SCHOOLS",20,244,0,0,6,0,0,150,0,81,0,0,40,0
"STATE","DISTRICT","2015-2016",015901,"ALAMO HEIGHTS ISD",20,4824,865,575,244,209,116,984,93,1340,87,-9999999,329,195
"STATE","DISTRICT","2015-2016",015904,"HARLANDALE ISD",20,15086,820,4409,2532,2356,794,13020,14663,11007,123,49,1345,679
"STATE","DISTRICT","2015-2016",015905,"EDGEWOOD ISD",20,11293,645,2411,2131,1536,510,10403,11293,8855,55,28,1091,456
"STATE","DISTRICT","2015-2016",015906,"RANDOLPH FIELD ISD",20,1358,102,374,13,0,10,119,10,180,1050,0,97,14
"STATE","DISTRICT","2015-2016",015907,"SAN ANTONIO ISD",20,53069,2427,10969,10119,6248,2639,48932,52720,36493,306,198,5457,2075
"STATE","DISTRICT","2015-2016",015908,"SOUTH SAN ANTONIO ISD",20,9854,528,2796,1519,1063,383,8950,9854,7207,42,25,762,185
"STATE","DISTRICT","2015-2016",015909,"SOMERSET ISD",20,3994,192,1089,581,409,109,3166,3910,2299,7,26,372,173
"STATE","DISTRICT","2015-2016",015910,"NORTH EAST ISD",20,67779,3875,14333,7355,4895,3500,31310,17473,26037,3845,181,6629,1068
"STATE","DISTRICT","2015-2016",015911,"EAST CENTRAL ISD",20,10087,607,2117,990,1205,176,6592,5831,5414,210,47,1034,684
"STATE","DISTRICT","2015-2016",015912,"SOUTHWEST ISD",20,13692,939,2579,2136,1458,660,11191,13460,9169,329,88,1456,479
"STATE","DISTRICT","2015-2016",015913,"LACKLAND ISD",20,965,57,208,9,0,9,355,75,240,913,5,111,-9999999
"STATE","DISTRICT","2015-2016",015914,"FT SAM HOUSTON ISD",20,1585,113,268,42,0,38,473,0,378,1448,0,186,-9999999
"STATE","DISTRICT","2015-2016",015915,"NORTHSIDE ISD",20,105110,9118,23354,8914,4677,3366,53212,43554,44360,7141,167,11902,2712
"STATE","DISTRICT","2015-2016",015916,"JUDSON ISD",20,23286,1669,6330,2092,1365,715,15113,10548,18025,2007,153,2426,1366
"STATE","DISTRICT","2015-2016",015917,"SOUTHSIDE ISD",20,5587,407,1862,920,665,234,4516,5554,2969,43,65,582,310
"STATE","DISTRICT","2015-2016",016901,"JOHNSON CITY ISD",13,698,33,200,39,0,39,258,244,244,0,0,72,40
"STATE","DISTRICT","2015-2016",016902,"BLANCO ISD",13,994,80,224,66,0,66,488,466,393,0,0,88,33
"STATE","DISTRICT","2015-2016",017901,"BORDEN COUNTY ISD",17,243,8,96,-9999999,0,-9999999,54,243,55,0,0,16,0
"STATE","DISTRICT","2015-2016",018901,"CLIFTON ISD",12,966,52,275,72,0,72,528,966,331,-9999999,-9999999,104,26
"STATE","DISTRICT","2015-2016",018902,"MERIDIAN ISD",12,476,33,144,25,0,24,301,233,188,0,12,59,13
"STATE","DISTRICT","2015-2016",018903,"MORGAN ISD",12,135,-9999999,36,7,0,9,121,135,57,0,0,27,0
"STATE","DISTRICT","2015-2016",018904,"VALLEY MILLS ISD",12,619,17,140,39,0,39,334,619,157,-9999999,-9999999,75,22
"STATE","DISTRICT","2015-2016",018905,"WALNUT SPRINGS ISD",12,188,18,72,30,0,30,155,187,74,-9999999,0,22,22
"STATE","DISTRICT","2015-2016",018906,"IREDELL ISD",12,134,0,66,-9999999,0,-9999999,74,134,56,0,0,14,-9999999
"STATE","DISTRICT","2015-2016",018907,"KOPPERL ISD",12,224,5,64,-9999999,0,-9999999,146,224,29,0,0,25,5
"STATE","DISTRICT","2015-2016",018908,"CRANFILLS GAP ISD",12,130,0,49,9,0,9,83,130,62,0,0,14,-9999999
"STATE","DISTRICT","2015-2016",019901,"DEKALB ISD",08,789,46,221,47,0,38,513,789,168,-9999999,-9999999,88,9
"STATE","DISTRICT","2015-2016",019902,"HOOKS ISD",08,875,80,250,30,0,30,484,875,341,-9999999,-9999999,93,83
"STATE","DISTRICT","2015-2016",019903,"MAUD ISD",08,481,29,158,0,0,0,269,481,137,6,0,56,41
"STATE","DISTRICT","2015-2016",019905,"NEW BOSTON ISD",08,1357,91,340,26,0,25,840,1356,647,13,0,181,66
"STATE","DISTRICT","2015-2016",019906,"REDWATER ISD",08,1133,100,406,7,0,7,412,1131,254,0,0,100,66
"STATE","DISTRICT","2015-2016",019907,"TEXARKANA ISD",08,7061,384,1665,467,268,202,4830,4736,3585,-9999999,9,670,167
"STATE","DISTRICT","2015-2016",019908,"LIBERTY-EYLAU ISD",08,2612,113,738,45,0,45,2133,1860,1389,11,-9999999,338,30
"STATE","DISTRICT","2015-2016",019909,"SIMMS ISD",08,503,20,170,0,0,0,278,503,226,0,-9999999,82,16
"STATE","DISTRICT","2015-2016",019910,"MALTA ISD",08,119,10,0,-9999999,0,-9999999,60,119,19,0,0,9,-9999999
"STATE","DISTRICT","2015-2016",019911,"RED LICK ISD",08,509,60,0,-9999999,0,-9999999,47,167,109,5,-9999999,31,29
"STATE","DISTRICT","2015-2016",019912,"PLEASANT GROVE ISD",08,2150,334,576,62,0,57,621,661,766,33,0,188,103
"STATE","DISTRICT","2015-2016",019913,"HUBBARD ISD",08,83,-9999999,8,6,0,6,45,83,21,0,-9999999,11,-9999999
"STATE","DISTRICT","2015-2016",019914,"LEARY ISD",08,122,5,0,0,0,0,77,122,40,0,0,10,0
"STATE","DISTRICT","2015-2016",020901,"ALVIN ISD",04,22183,1727,5044,3676,1780,1863,10992,11053,10894,127,87,2136,666
"STATE","DISTRICT","2015-2016",020902,"ANGLETON ISD",04,6806,309,1652,686,774,212,4149,4774,3596,63,-9999999,610,0
"STATE","DISTRICT","2015-2016",020904,"DANBURY ISD",04,774,67,262,30,0,30,208,416,311,-9999999,0,59,18
"STATE","DISTRICT","2015-2016",020905,"BRAZOSPORT ISD",04,12342,943,3737,1271,772,419,6868,6079,6328,60,8,979,229
"STATE","DISTRICT","2015-2016",020906,"SWEENY ISD",04,2040,122,845,65,0,64,996,2035,755,0,-9999999,167,84
"STATE","DISTRICT","2015-2016",020907,"COLUMBIA-BRAZORIA ISD",04,3064,126,711,152,0,115,1526,1741,1542,13,5,248,142
"STATE","DISTRICT","2015-2016",020908,"PEARLAND ISD",04,21093,1829,5310,1687,1048,673,5592,4529,6074,122,49,1838,718
"STATE","DISTRICT","2015-2016",020910,"DAMON ISD",04,195,18,23,38,0,36,195,195,101,0,0,26,5
"STATE","DISTRICT","2015-2016",021803,"BRAZOS SCHOOL FOR INQUIRY & CREATI",06,417,0,0,97,0,92,395,417,223,-9999999,0,34,6
"STATE","DISTRICT","2015-2016",021805,"ARROW ACADEMY",06,547,-9999999,0,57,0,56,391,451,316,-9999999,-9999999,25,-9999999
