PEIMS DATA FOR SCHOOL YEAR 2017-2018
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Ethnicity Name","Enrollment by Ethnicity"
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"MIDDLE SCHOOL","Asian",39
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"MIDDLE SCHOOL","Hispanic",494
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"MIDDLE SCHOOL","Native Hawaiian/Other or Pacific Islander",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"MIDDLE SCHOOL","Two or More Races",47
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"MIDDLE SCHOOL","White",379
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Black or African American",15
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Asian",78
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Hispanic",195
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Two or More Races",46
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","White",474
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Black or African American",27
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Asian",41
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Hispanic",297
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Two or More Races",51
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","White",595
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Black or African American",42
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","American Indian or Alaska Native",-9999999
