Texas Education Agency,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total Enrollment Counts in Student Program and Special Populations Reports,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PEIMS Data 2012-2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SCOPE,AGG_LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL LEP STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL PRE-K MILITARY STUDENTS,TOTAL PRE-K FOSTER STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES
STATE,DISTRICT,2012-2013,15801,POR VIDA ACADEMY,20,316,0,221,-9999999,0,-9999999,252,194,249,0,0,47
STATE,DISTRICT,2012-2013,15802,GEORGE GERVIN ACADEMY,20,1246,0,61,97,88,10,1171,1246,1040,7,0,42
STATE,DISTRICT,2012-2013,15803,HIGGS CARTER KING GIFTED & TALENTE,20,642,0,0,21,0,21,624,642,39,13,-9999999,27
STATE,DISTRICT,2012-2013,15805,NEW FRONTIERS CHARTER SCHOOL,20,627,0,0,69,0,66,493,627,411,0,0,52
STATE,DISTRICT,2012-2013,15806,SCHOOL OF EXCELLENCE IN EDUCATION,20,1527,0,193,176,16,156,1338,1527,1006,-9999999,-9999999,114
STATE,DISTRICT,2012-2013,15807,SOUTHWEST PREPARATORY SCHOOL,20,508,8,334,19,0,11,332,508,424,0,0,74
STATE,DISTRICT,2012-2013,15808,JOHN H WOOD JR PUBLIC CHARTER DIST,20,557,0,0,34,0,15,557,557,557,0,0,232
STATE,DISTRICT,2012-2013,15809,BEXAR COUNTY ACADEMY,20,458,0,0,89,35,55,134,458,324,0,-9999999,43
STATE,DISTRICT,2012-2013,15814,POSITIVE SOLUTIONS CHARTER SCHOOL,20,167,0,11,9,0,0,158,167,151,0,0,9
STATE,DISTRICT,2012-2013,15815,RADIANCE ACADEMY OF LEARNING,20,482,0,201,73,0,78,366,461,345,-9999999,0,37
STATE,DISTRICT,2012-2013,15816,ACADEMY OF CAREERS AND TECHNOLOGIE,20,192,-9999999,192,12,0,12,70,192,140,0,0,19
STATE,DISTRICT,2012-2013,15817,SAN ANTONIO CAN HIGH SCHOOL,20,438,0,78,50,0,50,416,438,411,0,0,54
STATE,DISTRICT,2012-2013,15819,SHEKINAH RADIANCE ACADEMY,20,890,0,123,50,0,49,665,486,542,7,-9999999,61
STATE,DISTRICT,2012-2013,15820,SAN ANTONIO SCHOOL FOR INQUIRY & C,20,437,32,189,0,0,0,399,437,373,0,0,53
STATE,DISTRICT,2012-2013,15822,JUBILEE ACADEMIC CENTER,20,2378,46,40,503,61,425,1700,2291,1349,11,-9999999,161
STATE,DISTRICT,2012-2013,15823,SAN ANTONIO TECHNOLOGY ACADEMY,20,78,0,64,0,0,0,73,78,62,0,0,10
STATE,DISTRICT,2012-2013,15825,LIGHTHOUSE CHARTER SCHOOL,20,233,-9999999,0,47,0,47,213,233,176,-9999999,0,21
STATE,DISTRICT,2012-2013,15826,KIPP SAN ANTONIO,20,1201,0,275,245,112,201,1008,1087,488,0,0,100
STATE,DISTRICT,2012-2013,15827,SCHOOL OF SCIENCE AND TECHNOLOGY,20,843,51,0,42,0,33,476,843,70,0,0,49
STATE,DISTRICT,2012-2013,15828,HARMONY SCIENCE ACAD (SAN ANTONIO),20,2148,106,46,225,0,191,1315,2148,348,0,0,105
STATE,DISTRICT,2012-2013,15830,BROOKS ACADEMY OF SCIENCE AND ENGI,20,1208,55,368,50,21,19,796,1208,367,0,0,54
STATE,DISTRICT,2012-2013,15831,SCHOOL OF SCIENCE AND TECHNOLOGY D,20,910,32,0,75,0,67,526,910,98,0,0,50
STATE,DISTRICT,2012-2013,15832,CITY CENTER HEALTH CAREERS,20,124,8,44,6,0,6,104,124,60,0,0,6
STATE,DISTRICT,2012-2013,15833,HENRY FORD ACADEMY ALAMEDA SCHOOL,20,203,0,56,0,0,0,101,107,113,0,0,16
STATE,DISTRICT,2012-2013,15901,ALAMO HEIGHTS ISD,20,4808,838,390,241,189,78,1063,54,930,-9999999,-9999999,333
STATE,DISTRICT,2012-2013,15904,HARLANDALE ISD,20,15175,943,4302,2371,2238,642,13313,15016,8846,5,0,1422
STATE,DISTRICT,2012-2013,15905,EDGEWOOD ISD,20,11937,757,2216,2199,1710,416,11419,11937,8136,-9999999,0,1148
STATE,DISTRICT,2012-2013,15906,RANDOLPH FIELD ISD,20,1193,93,55,-9999999,0,-9999999,130,72,177,22,0,66
STATE,DISTRICT,2012-2013,15907,SAN ANTONIO ISD,20,54268,2716,9812,10154,6390,2368,50429,53958,37120,23,17,5555
STATE,DISTRICT,2012-2013,15908,SOUTH SAN ANTONIO ISD,20,9842,429,1771,1425,1074,266,8745,9842,7332,8,-9999999,740
STATE,DISTRICT,2012-2013,15909,SOMERSET ISD,20,3903,185,628,496,342,59,3055,3903,2172,-9999999,0,329
STATE,DISTRICT,2012-2013,15910,NORTH EAST ISD,20,67901,4269,10949,6064,3758,2940,31247,21017,21937,73,13,6117
STATE,DISTRICT,2012-2013,15911,EAST CENTRAL ISD,20,9603,630,1853,723,960,111,6380,5581,4484,8,7,1060
STATE,DISTRICT,2012-2013,15912,SOUTHWEST ISD,20,13024,502,2429,1711,1252,393,10804,12836,8506,12,0,1346
STATE,DISTRICT,2012-2013,15913,LACKLAND ISD,20,1057,57,174,30,0,30,340,70,251,139,0,107
STATE,DISTRICT,2012-2013,15914,FT SAM HOUSTON ISD,20,1613,88,186,52,0,51,572,0,337,113,0,201
STATE,DISTRICT,2012-2013,15915,NORTHSIDE ISD,20,100159,10086,19550,7286,4268,2503,53317,35871,34869,299,42,11368
STATE,DISTRICT,2012-2013,15916,JUDSON ISD,20,22606,1793,5621,1821,1120,629,14092,13159,12594,116,21,2131
STATE,DISTRICT,2012-2013,15917,SOUTHSIDE ISD,20,5128,400,1070,732,548,131,4117,5115,2832,-9999999,-9999999,506
STATE,DISTRICT,2012-2013,16901,JOHNSON CITY ISD,13,725,46,157,38,0,37,306,263,199,0,0,81
STATE,DISTRICT,2012-2013,16902,BLANCO ISD,13,951,95,220,41,0,41,499,447,220,0,-9999999,90
STATE,DISTRICT,2012-2013,17901,BORDEN COUNTY ISD,17,239,7,82,-9999999,0,-9999999,63,239,25,0,0,15
STATE,DISTRICT,2012-2013,18901,CLIFTON ISD,12,999,60,254,58,0,57,539,999,432,0,0,104
STATE,DISTRICT,2012-2013,18902,MERIDIAN ISD,12,508,37,114,33,0,32,314,286,164,0,0,52
STATE,DISTRICT,2012-2013,18903,MORGAN ISD,12,103,-9999999,28,10,0,10,101,103,46,0,0,16
STATE,DISTRICT,2012-2013,18904,VALLEY MILLS ISD,12,628,19,142,40,0,40,313,628,188,-9999999,-9999999,70
STATE,DISTRICT,2012-2013,18905,WALNUT SPRINGS ISD,12,199,24,69,38,0,38,178,199,122,0,0,18
