PEIMS DATA FOR SCHOOL YEAR 2015-2016
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Ethnicity Name","Enrollment by Ethnicity"
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"White",63
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Black or African American",81
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"American Indian or Alaska Native",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Asian",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Hispanic",167
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Two or More Races",9
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"White",29
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Black or African American",40
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"American Indian or Alaska Native",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Asian",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Hispanic",389
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Two or More Races",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"White",46
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Black or African American",47
