Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2013-2014

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES"
"STATE","DISTRICT","2013-2014",015814,"POSITIVE SOLUTIONS CHARTER SCHOOL",20,183,0,5,-9999999,0,-9999999,164,183,165,0,0,25
"STATE","DISTRICT","2013-2014",015815,"RADIANCE ACADEMY OF LEARNING",20,556,0,179,89,0,96,421,556,424,-9999999,-9999999,35
"STATE","DISTRICT","2013-2014",015816,"ACADEMY OF CAREERS AND TECHNOLOGIE",20,186,0,185,8,0,8,52,186,114,0,0,16
"STATE","DISTRICT","2013-2014",015819,"SHEKINAH RADIANCE ACADEMY",20,798,27,106,26,0,23,558,367,546,8,-9999999,49
"STATE","DISTRICT","2013-2014",015820,"SAN ANTONIO SCHOOL FOR INQUIRY & C",20,424,28,200,0,0,0,383,424,379,0,0,52
"STATE","DISTRICT","2013-2014",015822,"JUBILEE ACADEMIC CENTER",20,2991,71,97,648,152,451,2277,2746,1747,11,19,196
"STATE","DISTRICT","2013-2014",015823,"SAN ANTONIO TECHNOLOGY ACADEMY",20,62,0,33,-9999999,0,-9999999,57,62,56,0,0,8
"STATE","DISTRICT","2013-2014",015825,"LIGHTHOUSE CHARTER SCHOOL",20,247,0,0,63,0,63,222,247,145,-9999999,0,20
"STATE","DISTRICT","2013-2014",015826,"KIPP SAN ANTONIO",20,1485,0,206,322,243,213,1276,1098,630,-9999999,-9999999,119
"STATE","DISTRICT","2013-2014",015827,"SCHOOL OF SCIENCE AND TECHNOLOGY",20,855,53,58,51,0,41,464,855,265,0,0,52
"STATE","DISTRICT","2013-2014",015828,"HARMONY SCIENCE ACAD (SAN ANTONIO)",20,2267,149,419,260,0,229,1484,2267,913,0,0,126
