FID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape_area,Shape_len,Shape__Area,Shape__Length
253,15870,Crowell ISD,Crowell,78901,078-901,078901,4815870,2,2296653600.91,278696.454674,3351071738.02344,336752.993387243
254,43400,Turkey-Quitaque ISD,Turkey-Quitaque,96905,096-905,096905,4843400,1,1160671238,195884.621028,1711663427.76172,237814.156233438
255,35070,Plainview ISD,Plainview,95905,095-905,095905,4835070,5,1026717735.71,166536.992982,1506554954.74609,201643.799014539
256,31500,Motley County ISD,Motley County,173901,173-901,173901,4831500,4,2633804446.73,240897.225269,3855351311.83594,291504.785336011
257,27890,Lockney ISD,Lockney,77902,077-902,077902,4827890,1,651365639.638,169625.285444,955534715.617188,205417.878926732
258,19440,Floydada ISD,Floydada,77901,077-901,077901,4819440,2,1648232803.06,237812.216576,2409626938.69141,287659.958273938
259,12660,Campbell ISD,Campbell,116910,116-910,116910,4812660,4,121274153.31,73058.9902662,173966522.042969,87506.0124921202
260,10740,Boles ISD,Boles,116916,116-916,116916,4810740,5,21983916.6322,25465.6219627,31415493.5585938,30439.1545915218
261,16020,Cumby ISD,Cumby,112905,112-905,112905,4816020,7,176671947.165,103089.548358,253505292.957031,123533.705656254
262,28020,Lone Oak ISD,Lone Oak,116906,116-906,116906,4828020,3,234877406.098,97364.1662953,336039707.0625,116451.173204319
263,42450,Terrell ISD,Terrell,129906,129-906,129906,4842450,7,450396421.079,145898.634573,640896443.328125,174084.836781781
264,36240,Quinlan ISD,Quinlan,116908,116-908,116908,4836240,6,385195376.028,176121.099682,549852355.058594,210386.329434548
265,46350,Wolfe City ISD,Wolfe City,116909,116-909,116909,4846350,2,222522187.122,111674.585776,320535690.101563,134027.776842352
266,19050,Fannindel ISD,Fannindel,60914,060-914,060914,4819050,1,261623800.056,120289.128234,377651435.082031,144509.180539116
267,14820,Commerce ISD,Commerce,116903,116-903,116903,4814820,3,297168232.364,129672.743525,427465079.871094,155550.021048186
268,27210,Leonard ISD,Leonard,74909,074-909,074909,4827210,4,168400133.727,91774.9757794,242841271.5625,110211.573668066
269,42390,Terlingua CSD,Terlingua CSD,22004,022-004,022004,4842390,6,1783434889.29,198779.413461,2361322238.10938,228755.923934194
270,39060,San Vicente ISD,San Vicente,22903,022-903,022903,4839060,5,4012509339.7,351751.813419,5327171631.70313,405288.737190575
271,28980,Marathon ISD,Marathon,22902,022-902,022902,4828980,2,5239479769.17,344047.593289,7044778163.01953,398930.275855025
272,07950,Alpine ISD,Alpine,22901,022-901,022901,4807950,3,4944156889.05,327467.945387,6644043092.50391,380118.13883883
273,46200,Winnsboro ISD,Winnsboro,250907,250-907,250907,4846200,6,430998955.882,184678.919533,615276948.097656,220714.871541568
274,41790,Sulphur Bluff ISD,Sulphur Bluff,112910,112-910,112910,4841790,3,305637354.227,139240.036023,439929727.355469,167079.347815303
275,38610,Saltillo ISD,Saltillo,112909,112-909,112909,4838610,5,154144369.18,100628.538734,221253676.761719,120585.046724656
276,17010,Deweyville ISD,Deweyville,176903,176-903,176903,4817010,1,439833072.336,128601.750926,595220607.90625,149616.603360475
277,11070,Brackett ISD,Brackett,136901,136-901,136901,4811070,7,3524222683.57,249866.924355,4670017170.51172,287572.582332925
278,39210,Santa Anna ISD,Santa Anna,42903,042-903,042903,4839210,1,824627306.899,174051.968697,1145425633.63281,205281.950429231
279,09390,Bangs ISD,Bangs,25901,025-901,025901,4809390,5,530780175.858,158975.230424,739959834.289063,187815.99535337
280,41970,Sweeny ISD,Sweeny,20906,020-906,020906,4841970,1,463051548.384,158160.502862,608615630.730469,181319.366494093
281,45840,Wildorado ISD,Wildorado,180904,180-904,180904,4845840,6,451850830.17,98990.1870884,678266076.820313,121335.140975747
282,12810,Canyon ISD,Canyon,191901,191-901,191901,4812810,3,1851690860.29,223340.06713,2763947819.02734,272896.592430265
283,13410,Centerville ISD (Leon),Centerville (Leon),145902,145-902,145902,4813410,3,918233174.79,259706.233759,1265331675.42188,304930.869873384
284,44410,Wall ISD,Wall,226906,226-906,226906,4844410,3,1027374077.12,187573.913031,1417522813.67578,220446.583651797
285,44040,Veribest ISD,Veribest,226908,226-908,226908,4844040,7,319727204.415,123266.251897,443152944.527344,145119.444365684
286,38700,San Angelo ISD,San Angelo,226903,226-903,226903,4838700,1,532972451.403,147546.76088,737044710.070313,173516.003792217
287,21600,Grape Creek ISD,Grape Creek,226907,226-907,226907,4821600,3,443419120.385,109327.682579,615723013.785156,128776.672729634
