FID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape_area,Shape_len,Shape__Area,Shape__Length
586,30360,Irion County ISD,Irion County,118902,118-902,118902,4830360,5,2712139239.78,208548.059652,3742521256.23828,244946.474979932
587,33090,Northside ISD (Wilbarger),Northside (Wilbarger),244905,244-905,244905,4833090,7,240716733.867,91837.171137,354080232.890625,111386.31221234
588,22620,Harrold ISD,Harrold,244901,244-901,244901,4822620,4,525795261.772,130750.039327,768433639.6875,158236.567688501
589,43560,Union Hill ISD,Union Hill,230904,230-904,230904,4843560,2,171202157.168,110708.995519,244073464.480469,132182.496575241
590,43530,Union Grove ISD,Union Grove,230908,230-908,230908,4843530,1,51275477.9178,38374.3366156,72709048.2890625,45696.8358032576
591,22560,Harmony ISD,Harmony,230905,230-905,230905,4822560,4,294822332.783,128795.548576,419606849.601563,153674.028092558
592,10140,Big Sandy ISD (Upshur),Big Sandy (Upshur),230901,230-901,230901,4810140,2,221734143.925,120367.118192,314520718.441406,143361.038318677
593,31860,Muenster ISD,Muenster,49902,049-902,049902,4831860,6,493268862.145,141005.936476,716012590.21875,169983.360703604
594,27570,Lindsay ISD,Lindsay,49907,049-907,049907,4827570,1,105716722.026,67629.1728946,153329427.636719,81446.311217864
595,20220,Gainesville ISD,Gainesville,49901,049-901,049901,4820220,6,204091991.345,105412.700289,295818938.9375,126925.814099434
596,33980,Paint Rock ISD,Paint Rock,48903,048-903,048903,4833980,1,821500445.459,175374.788201,1137729227.48438,206225.614500451
597,09980,Benjamin ISD,Benjamin,138904,138-904,138904,4809980,1,1054510119.22,251107.577761,1529133655.74609,302505.865086296
598,23190,Highland ISD,Highland,177905,177-905,177905,4823190,2,665243661.292,123661.280788,936443309.136719,146806.917876545
599,31950,Mumford ISD,Mumford,198906,198-906,198906,4831950,3,104129460.388,49723.4141911,142060919.628906,58058.2509206759
600,22830,Hearne ISD,Hearne,198905,198-905,198905,4822830,5,289151895.433,98667.6076323,395139845.082031,115342.543085416
601,19740,Franklin ISD,Franklin,198903,198-903,198903,4819740,4,1033456416.5,206781.504162,1418689908.46094,242308.393597943
602,12540,Calvert ISD,Calvert,198902,198-902,198902,4812540,1,308673427.92,106769.595302,423148559.722656,125000.569436352
603,27180,Leon ISD,Leon,145911,145-911,145911,4827180,7,798490465.748,205796.797261,1101182198.87891,241595.325266821
604,41610,Stockdale ISD,Stockdale,247906,247-906,247906,4841610,5,477510412.401,130705.853002,631494186.25,150267.281770565
605,35550,Poth ISD,Poth,247904,247-904,247904,4835550,2,549106706.563,183317.928886,723014548.761719,210362.449911316
606,19020,Falls City ISD,Falls City,128904,128-904,128904,4819020,4,344659610.356,147794.503266,453263641.671875,169462.889199386
607,33900,Paducah ISD,Paducah,51901,051-901,051901,4833900,5,2074496151.04,219142.191374,3035101196.21875,265289.778596627
608,12480,Calhoun County ISD,Calhoun County,29901,029-901,029901,4812480,4,2669295295.74,261499.592223,3471864176.78711,298290.118642886
609,20550,George West ISD,George West,149901,149-901,149901,4820550,2,1574185432.12,197213.368071,2039386795.64063,224453.909977655
610,41670,Stratford ISD,Stratford,211902,211-902,211902,4841670,7,2246902967.79,247337.534269,3451724699.33984,306431.875015907
611,34650,Perryton ISD,Perryton,179901,179-901,179901,4834650,2,2054425393.97,204160.671272,3156400220.07813,253054.880952048
612,27990,London ISD,London,178906,178-906,178906,4827990,6,225363620.858,67658.240843,288302783.822266,76518.897868222
613,44250,Vysehrad ISD,Vysehrad,143904,143-904,143904,4844250,3,81254401.2749,50113.5081221,107866337.863281,57736.0876015523
614,10620,Bluff Dale ISD,Bluff Dale,72904,072-904,072904,4810620,6,180183177.965,82159.8599246,254126004.066406,97601.297566908
615,11190,Brazosport ISD,Brazosport,20905,020-905,020905,4811190,5,837854025.32,216095.5921,1101750847.83594,247914.643562344
616,20280,Galveston ISD,Galveston,84902,084-902,084902,4820280,3,1006768809.4,187976.400167,1333623792.15234,216270.968285694
617,34470,Pearsall ISD,Pearsall,82903,082-903,082903,4834470,2,1926566627.02,301016.169689,2528469995.33984,344885.75859009
618,16950,Devine ISD,Devine,163901,163-901,163901,4816950,3,510703242.729,164261.382773,673541839.230469,188653.99664674
619,42930,Tom Bean ISD,Tom Bean,91918,091-918,091918,4842930,3,140563573.444,76367.1753706,203353860.292969,91876.8534515358
620,23670,Howe ISD,Howe,91905,091-905,091905,4823670,2,193115295.237,91346.3463656,279318266.175781,109837.762005927
621,37020,Richardson ISD,Richardson,57916,057-916,057916,4837020,4,119322878.084,62431.4356484,170436025.863281,74596.5744663844
622,30390,Mesquite ISD,Mesquite,57914,057-914,057914,4830390,7,141977788.176,70511.0710817,202027431.261719,84146.877064395
623,19560,Forney ISD,Forney,129902,129-902,129902,4819560,1,210424543.699,73974.0814787,299291602.652344,88262.9154290266
624,15510,Crandall ISD,Crandall,129901,129-901,129901,4815510,3,218061930.239,81660.4585147,309220029.113281,97276.7870867364
625,41880,Sunnyvale ISD,Sunnyvale,57919,057-919,057919,4841880,3,50442561.2788,33718.0783261,71841533.2148438,40248.3464000376
626,32730,Newton ISD,Newton,176902,176-902,176902,4832730,7,1016656999.49,225607.722025,1386698252.90234,263475.274884889
627,22890,Hemphill ISD,Hemphill,202903,202-903,202903,4822890,4,1049169833.56,238931.39754,1449656924.53516,280952.893171249
628,12150,Burkeville ISD,Burkeville,176901,176-901,176901,4812150,2,847725400.691,177257.303375,1163428573.83594,207604.70599139
629,11430,Broaddus ISD,Broaddus,203902,203-902,203902,4811430,1,726405229.164,232764.060768,1002305350.17969,273320.429826619
630,45180,West Sabine ISD,West Sabine,202905,202-905,202905,4845180,5,278112123.039,103957.331243,383759406.515625,122181.599321952
631,11520,Brookeland ISD,Brookeland,121902,121-902,121902,4811520,3,389133660.943,134289.656048,535193855.046875,157423.474500566
632,18660,Etoile ISD,Etoile,174910,174-910,174910,4818660,3,196120824.142,112773.207104,270891731.214844,132492.55534541
633,13980,Chireno ISD,Chireno,174901,174-901,174901,4813980,6,254812894.292,113327.741168,353154154.699219,133390.020492569
634,38760,San Augustine ISD,San Augustine,203901,203-901,203901,4838760,7,714549094.281,210336.277099,990310752.984375,247527.599982107
635,30060,Medina Valley ISD,Medina Valley,163908,163-908,163908,4830060,1,751607838.627,185907.649374,997071977.71875,214146.642021221
636,40950,Southwest ISD,Southwest,15912,015-912,015912,4840950,3,281302354.214,132324.556446,372396168.484375,152253.282077258
637,27630,Lipan ISD,Lipan,111902,111-902,111902,4827630,1,304889767.058,104264.754691,431604642.453125,124031.700791852
638,44800,Weatherford ISD,Weatherford,184903,184-903,184903,4844800,2,649977719.387,185800.655902,924322686.984375,221622.209978401
639,11460,Brock ISD,Brock,184909,184-909,184909,4811460,3,229925462.843,83704.1844232,326376380.929688,99747.0604561202
640,42900,Tolar ISD,Tolar,111903,111-903,111903,4842900,2,294792901.72,97544.1927393,415916649.507813,115902.810585308
641,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,2,541990891.441,252231.041699,770614731,300790.231836415
642,07780,Aledo ISD,Aledo,184907,184-907,184907,4807780,4,340312369.719,116154.077702,483458290.988281,138516.586094262
643,15910,Crowley ISD,Crowley,220912,220-912,220912,4815910,4,149625242.29,77826.5991521,212197423.09375,92718.7535076056
644,36450,Randolph Field ISD,Randolph Field,15906,015-906,015906,4836450,1,10946227.5653,17147.8906437,14558769.7070313,19778.3752101911
645,40920,Southside ISD,Southside,15917,015-917,015917,4840920,6,274315375.04,100969.329079,362499220.199219,116099.792955164
646,22470,Harlandale ISD,Harlandale,15904,015-904,015904,4822470,5,37392973.5192,29496.1812661,49551509.8007813,33940.5756021783
647,17850,East Central ISD,East Central,15911,015-911,015911,4817850,2,515416608.182,139948.166341,683168561.144531,161159.841636034
648,20160,Fort Sam Houston ISD,Fort Sam Houston,15914,015-914,015914,4820160,6,13686456.1194,22974.5756773,18177749.1679688,26471.7759543619
649,07590,Alamo Heights ISD,Alamo Heights,15901,015-901,015901,4807590,5,24064709.3724,26620.5577268,31982998.84375,30698.0599598027
650,18150,Edgewood ISD (Bexar),Edgewood (Bexar),15905,015-905,015905,4818150,3,43286277.7524,29658.5422489,57430980.4375,34182.6564146622
651,40680,South San Antonio ISD,South San Antonio,15908,015-908,015908,4840680,6,40797436.7189,43078.7682192,54065151.1171875,49584.3282269111
652,38730,San Antonio ISD,San Antonio,15907,015-907,015907,4838730,1,193696680.173,97006.6789519,257041526.558594,111728.790732026
653,26370,Lackland ISD,Lackland,15913,015-913,015913,4826370,2,26746927.5112,33227.977156,35461660.3671875,38272.5024448168
654,33120,Northside ISD (Bexar),Northside (Bexar),15915,015-915,015915,4833120,7,819909644.55,192301.539134,1091124410.85547,221858.20550956
655,44310,Waelder ISD,Waelder,89905,089-905,089905,4844310,1,465559260.852,120603.795627,621207707.785156,139309.678453127
656,21060,Gonzales ISD,Gonzales,89901,089-901,089901,4821060,4,1348945472.59,249385.731289,1793076533.59766,287580.194252208
657,35700,Prairie Lea ISD,Prairie Lea,28906,028-906,028906,4835700,3,94646807.6598,63917.6518683,126440261.753906,73882.555168414
658,28590,Luling ISD,Luling,28903,028-903,028903,4828590,7,298364524.673,133796.634931,398231460.574219,154612.93235454
659,40550,Smithville ISD,Smithville,11904,011-904,011904,4840550,7,759010463.539,154982.974138,1018954455.00391,179624.787158847
660,16890,Detroit ISD,Detroit,194905,194-905,194905,4816890,7,576096744.596,147364.048789,837470318.207031,177820.408266015
661,21720,Greenville ISD,Greenville,116905,116-905,116905,4821720,5,346053840.848,139972.31767,496387212.738281,167646.539127899
662,13260,Celeste ISD,Celeste,116902,116-902,116902,4813260,1,183082960.947,108435.888849,263467397.492188,130074.388017169
663,12390,Caddo Mills ISD,Caddo Mills,116901,116-901,116901,4812390,2,178020899.963,77412.6550122,254879985.066406,92621.7404699257
664,38220,Royse City ISD,Royse City,199902,199-902,199902,4838220,1,194499691.201,101028.301535,277849442.652344,120801.343487981
665,10350,Bland ISD,Bland,116915,116-915,116915,4810350,4,156226795.322,96658.7844906,224370813.5625,115862.858075501
666,19080,Farmersville ISD,Farmersville,43904,043-904,043904,4819080,2,227256124.771,96277.6254232,326210365.367188,115336.51628795
667,14310,Cleburne ISD,Cleburne,126903,126-903,126903,4814310,1,505288437.595,193583.992792,712174529.839844,229877.828562129
668,25230,Keene ISD,Keene,126906,126-906,126906,4825230,2,12948716.305,21429.45815,18285505.3125,25464.4617968017
669,24930,Joshua ISD,Joshua,126905,126-905,126905,4824930,5,196475531.502,98783.9070042,277892124.25,117483.146435221
670,21390,Granbury ISD,Granbury,111901,111-901,111901,4821390,5,649001901.142,175405.680389,917535164.488281,208509.743741134
671,20960,Godley ISD,Godley,126911,126-911,126911,4820960,6,321204575.427,140027.838668,454220547.636719,166549.923546635
672,00011,Alvarado ISD,Alvarado,126901,126-901,126901,4800011,4,253281900.694,111073.282027,357807149.652344,132050.486646017
673,20850,Glen Rose ISD,Glen Rose,213901,213-901,213901,4820850,3,510317177.582,121937.609785,718062590.234375,144654.916575244
674,46530,Wylie ISD (Collin),Wylie (Collin),43914,043-914,043914,4846530,2,105120208.725,58050.9553958,150415657.296875,69398.5655230301
675,37650,Rockwall ISD,Rockwall,199901,199-901,199901,4837650,4,278478765.814,79555.3073093,397361959.003906,95018.1693532001
676,20340,Garland ISD,Garland,57909,057-909,057909,4820340,1,240883745.675,74801.9426571,343891304.027344,89379.4849057259
677,14850,Community ISD,Community,43918,043-918,043918,4814850,7,187785771.934,91310.0828078,268861551.269531,109245.032235828
678,35850,Princeton ISD,Princeton,43911,043-911,043911,4835850,5,159268844.859,94572.0911121,228518065.148438,113317.551887389
679,28380,Lovejoy ISD,Lovejoy,43919,043-919,043919,4828380,7,44105178.7014,42489.2331982,63236292.9726563,50887.1853164545
680,12990,Carrizo Springs Cons ISD,Carrizo Springs Cons,64903,064-903,064903,4812990,7,3449609442.71,239097.858551,4485269348.82813,272512.23146897
681,17730,Eagle Pass ISD,Eagle Pass,159901,159-901,159901,4817730,1,3337517329,300331.785648,4367939384.26563,343671.824577346
682,46710,Zapata County ISD,Zapata County,253901,253-901,253901,4846710,2,2742974931.01,238439.513053,3465429402.80859,268157.881166594
683,26790,Laredo ISD,Laredo,240901,240-901,240901,4826790,2,34773877.5169,30167.7518433,44385443.3359375,34094.4637648633
684,46680,Ysleta ISD,Ysleta,71905,071-905,071905,4846680,7,161704907.859,94485.7691843,225541420.988281,111675.295497711
685,18300,El Paso ISD,El Paso,71902,071-902,071902,4818300,5,547564575.23,149222.911954,764604626.28125,176412.992071698
686,43140,Trenton ISD,Trenton,74912,074-912,074912,4843140,3,120927305.438,69514.7187059,174527535.914063,83535.4011536673
687,15150,Cooper ISD,Cooper,60902,060-902,060902,4815150,5,604194653.304,262089.844322,871216760.339844,314730.213858657
688,36420,Ramirez CSD,Ramirez CSD,66005,066-005,066005,4836420,7,323626189.227,103685.157031,411514669.927734,116887.487447276
689,34290,Paris ISD,Paris,139909,139-909,139909,4834290,2,58823590.0455,46283.6032663,85333938.0898438,55739.1250408853
690,38820,San Diego ISD,San Diego,66902,066-902,066902,4838820,6,1315782368.2,212718.180918,1689834007.06055,241117.764306574
691,35760,Premont ISD,Premont,125905,125-905,125905,4835760,1,435857389.816,103456.818651,555196807.347656,116708.345407993
692,00012,Chisum ISD,Chisum,139905,139-905,139905,4800012,3,526038188.209,262280.958378,761903730.949219,315685.575993615
693,38640,Sam Rayburn ISD,Sam Rayburn,74917,074-917,074917,4838640,5,368604448.74,122573.597761,535789774.605469,147810.991318801
694,23460,Honey Grove ISD,Honey Grove,74907,074-907,074907,4823460,4,579389165.825,192623.044894,840290949.964844,232048.939252418
695,18030,Ector ISD,Ector,74905,074-905,074905,4818030,3,74056120.9634,57703.5798564,107275636.839844,69465.5526323491
696,17280,Dodd City ISD,Dodd City,74904,074-904,074904,4817280,3,117096492.503,91696.3786224,169605195.753906,110337.180919053
697,10800,Bonham ISD,Bonham,74903,074-903,074903,4810800,7,591515906.727,233076.869236,856199847.199219,280438.736593682
698,24750,Jim Hogg County ISD,Jim Hogg County,124901,124-901,124901,4824750,5,2945345011.91,239237.818837,3724286071.97461,269141.094520746
699,35740,Prairiland ISD,Prairiland,139912,139-912,139912,4835740,6,620283886.533,209351.60004,897800849.390625,251970.447534925
700,33010,North Lamar ISD,North Lamar,139911,139-911,139911,4833010,5,1064263959.76,227238.009511,1548079666.62109,274017.994883234
701,19820,Freer ISD,Freer,66903,066-903,066903,4819820,3,1059641318.46,195250.516908,1363138725.43555,221411.605278275
702,15400,Cotulla ISD,Cotulla,142901,142-901,142901,4815400,1,3602257872.16,268041.76358,4674664816.46484,305549.204103258
703,29940,McMullen County ISD,McMullen County,162904,162-904,162904,4829940,4,2990552926.52,222290.775909,3882875705.88672,253408.435080075
704,44810,Webb Cons ISD,Webb Cons,240904,240-904,240904,4844810,3,2261685696.46,251586.163878,2886558710.24023,284276.361488993
705,99130,Benavides ISD,Benavides,66901,066-901,066901,4899130,4,1925300326.1,324116.89655,2459858775.93164,366807.710027808
706,43650,United ISD,United,240903,240-903,240903,4843650,6,6439997329.82,520131.951152,8277030861.5918,589277.164055239
707,14450,Clyde Cons ISD,Clyde Cons,30902,030-902,030902,4814450,1,875438824.155,271585.86345,1235648456.71094,322813.135271481
708,22800,Hawley ISD,Hawley,127904,127-904,127904,4822800,3,304724066.969,112167.500244,432267074.277344,133549.263435466
709,07440,Abilene ISD,Abilene,221901,221-901,221901,4807440,5,275320461.918,143690.114239,389425772.054688,170911.919112296
710,33210,Coleman ISD,Coleman,42901,042-901,042901,4833210,2,1192774300.92,229988.686993,1668585065.22266,271900.216453984
711,24780,Jim Ned Cons ISD,Jim Ned Cons,221911,221-911,221911,4824780,5,937892065.73,163950.814906,1318005950.03125,194337.370958264
712,09280,Baird ISD,Baird,30903,030-903,030903,4809280,4,967642966.18,194012.162043,1365281688.92188,230418.363092868
713,18690,Eula ISD,Eula,30906,030-906,030906,4818690,2,300278642.306,102526.826076,423955523.410156,121873.435508528
714,28530,Lueders-Avoca ISD,Lueders-Avoca,127905,127-905,127905,4828530,6,612574884.837,163588.996719,872967035.964844,195239.810366643
715,31320,Moran ISD,Moran,209902,209-902,209902,4831320,3,534738452.403,139889.244266,757817074.960938,166425.751294626
716,07680,Albany ISD,Albany,209901,209-901,209901,4807680,4,1531802576.77,211682.527718,2180479538.625,252488.866489323
717,46500,Wylie ISD (Taylor),Wylie (Taylor),221912,221-912,221912,4846500,7,359183761.289,133020.408267,506574728.917969,157963.171387958
718,25920,Kountze ISD,Kountze,100903,100-903,100903,4825920,1,655408860.153,163718.635685,887362904.910156,190467.008122715
719,13530,Lumberton ISD,Lumberton,100907,100-907,100907,4813530,2,153743564.744,84904.0314864,207434795.535156,98642.3945052595
720,17880,East Chambers ISD,East Chambers,36903,036-903,036903,4817880,5,392492646.486,122328.736123,524513280.5,141498.74422701
721,22320,Hamshire-Fannett ISD,Hamshire-Fannett,123914,123-914,123914,4822320,2,686506156.662,154262.675895,918973645.007813,178545.41931288
722,09670,Beaumont ISD,Beaumont,123910,123-910,123910,4809670,4,458909457.2,149019.96763,616920506.960938,172838.157652
723,17130,Dime Box ISD,Dime Box,144903,144-903,144903,4817130,5,244849656.366,129114.895261,331085181.800781,150138.930706407
724,12240,Burton ISD,Burton,239903,239-903,239903,4812240,3,417452120.591,139647.874099,562987147.28125,162184.211415903
725,38100,Round Top-Carmine ISD,Round Top-Carmine,75908,075-908,075908,4838100,4,351384918.447,105581.782556,472546345.3125,122465.445124967
726,20640,Giddings ISD,Giddings,144901,144-901,144901,4820640,6,676814475.699,186707.382853,912588039.273438,216896.047956555
727,09810,Bellville ISD,Bellville,8901,008-901,008901,4809810,1,998376707.381,219020.084566,1340042525.79688,253655.269384091
728,40620,Snook ISD,Snook,26903,026-903,026903,4840620,5,466750604.454,138984.122195,632812607.128906,161833.620176257
729,40770,Somerville ISD,Somerville,26902,026-902,026902,4840770,7,280365345.787,120061.304348,379380547.960938,139620.376026044
730,12460,Caldwell ISD,Caldwell,26901,026-901,026901,4812460,1,1003065380.35,204269.831458,1362346549.94141,237947.0200908
731,11790,Bryan ISD,Bryan,21902,021-902,021902,4811790,7,1053917724.22,247554.591904,1437479798.09766,289079.994337702
732,07350,College Station ISD,College Station,21901,021-901,021901,4807350,6,264982630.253,124129.1794,359947514.03125,144679.339899638
733,11280,Brenham ISD,Brenham,239901,239-901,239901,4811280,4,1185595978.39,246868.469299,1599376767.89453,286626.625522067
734,08340,Anna ISD,Anna,43902,043-902,043902,4808340,3,158603868.267,77699.8571986,228579024.398438,93198.9103783106
735,45670,Whitewright ISD,Whitewright,91910,091-910,091910,4845670,1,185510806.086,107660.88221,268147825.9375,129463.898302074
736,43890,Van Alstyne ISD,Van Alstyne,91908,091-908,091908,4843890,6,163591087.751,83778.2025466,236145554.386719,100605.36967239
737,30120,Melissa ISD,Melissa,43908,043-908,043908,4830120,5,80997229.4167,64692.2871747,116552524.546875,77577.3042853221
738,10590,Blue Ridge ISD,Blue Ridge,43917,043-917,043917,4810590,6,169148017.035,91658.8164082,243491535.710938,109933.627342436
739,17070,Dickinson ISD,Dickinson,84901,084-901,084901,4817070,5,239231813.127,100713.191268,317699746.960938,116006.356979119
740,22920,Hempstead ISD,Hempstead,237902,237-902,237902,4822920,2,379546998.59,167371.421632,510565004.765625,194087.306689636
741,32190,Navasota ISD,Navasota,93904,093-904,093904,4832190,7,949185988.877,200949.700808,1284739810.43359,233775.951668861
742,14280,Clear Creek ISD,Clear Creek,84910,084-910,084910,4814280,1,272297165.027,123475.862335,362285390.09375,142377.92103019
743,20250,Galena Park ISD,Galena Park,101910,101-910,101910,4820250,4,87795376.0022,68509.6814894,117345307.570313,79160.4753390325
744,34320,Pasadena ISD,Pasadena,101917,101-917,101917,4834320,7,154839019.527,66573.0984638,206432076.269531,76930.121537771
745,07710,Aldine ISD,Aldine,101902,101-902,101902,4807710,6,281901189.218,109344.871169,378148578.917969,126644.689010214
746,41220,Spring ISD,Spring,101919,101-919,101919,4841220,5,144195439.12,88226.4172091,193771895.65625,102275.655775365
747,21150,Goose Creek Consolidated ISD,Goose Creek Cons,101911,101-911,101911,4821150,6,348024164.034,118057.213052,464881828.296875,136464.298560501
748,39990,Sheldon ISD,Sheldon,101924,101-924,101924,4839990,7,137620033.819,62725.5389159,184329076.460938,72553.3699107599
749,16530,Deer Park ISD,Deer Park,101908,101-908,101908,4816530,5,103238807.181,87292.8919718,137836335.65625,100866.170281337
750,13590,Channelview ISD,Channelview,101905,101-905,101905,4813590,3,52047618.9067,37628.9801062,69600636.1289063,43492.4182724532
751,26190,La Porte ISD,La Porte,101916,101-916,101916,4826190,4,147068084.663,60759.7504137,196118392.953125,70131.9579928546
752,09450,Barbers Hill ISD,Barbers Hill,36902,036-902,036902,4809450,3,498354939.832,184207.593651,665465131.496094,212907.560161409
753,23820,Huffman ISD,Huffman,101925,101-925,101925,4823820,2,136392294.433,59583.31192,183393063.648438,69138.6931145063
754,15750,Crosby ISD,Crosby,101906,101-906,101906,4815750,5,209431574.305,71390.0325599,280777695.636719,82625.8644872445
755,14370,Cleveland ISD,Cleveland,146901,146-901,146901,4814370,6,371288819.106,154343.094353,501665545.945313,179518.049121184
756,32400,New Caney ISD,New Caney,170908,170-908,170908,4832400,4,223556613.482,76882.6104392,301057316.207031,89189.1314914639
757,23910,Humble ISD,Humble,101913,101-913,101913,4823910,3,237055272.31,83753.0092368,318366166.476563,97104.327990066
758,42960,Tomball ISD,Tomball,101921,101-921,101921,4842960,1,214854624.746,104055.54825,289077918.824219,120709.405362129
759,25740,Klein ISD,Klein,101915,101-915,101915,4825740,3,213255622.495,109167.723451,286655162.792969,126572.256159742
760,28740,Magnolia ISD,Magnolia,170906,170-906,170906,4828740,4,387610751.897,137664.397378,522753086.546875,159896.946002494
761,15000,Conroe ISD,Conroe,170902,170-902,170902,4815000,2,895672344.997,220796.314723,1209158536.74609,256461.801513958
762,36970,Rice Cons ISD,Rice Cons,45903,045-903,045903,4836970,3,1075542434.62,250043.005377,1429818959.10938,288397.425216271
763,16260,Damon ISD,Damon,20910,020-910,020910,4816260,5,159427875.593,66115.0562845,210898144.007813,76016.2104096617
764,14670,Columbia-Brazoria ISD,Columbia-Brazoria,20907,020-907,020907,4814670,4,642356235.139,228778.161425,847600661.300781,262809.960809761
765,44430,Waller ISD,Waller,237904,237-904,237904,4844430,5,796521138.308,147813.352595,1071519922.04688,171436.550179287
766,41100,Spring Branch ISD,Spring Branch,101920,101-920,101920,4841100,5,106259436.193,60401.4010653,142093728.71875,69827.1110479513
767,16110,Cypress-Fairbanks ISD,Cypress-Fairbanks,101907,101-907,101907,4816110,4,487473916.859,117241.622765,653627725.292969,135747.485851466
768,41350,Stafford MSD,Stafford MSD,79910,079-910,079910,4841350,3,18255647.2003,31287.0362647,24329015.3046875,36118.0450491216
769,07830,Alief ISD,Alief,101903,101-903,101903,4807830,1,101323253.888,52503.5620105,135246391.828125,60598.0916396732
770,26580,Lamar Cons ISD,Lamar Cons,79901,079-901,079901,4826580,1,994716209.74,337003.664177,1323547411.46484,388707.748828332
771,10780,Boling ISD,Boling,241901,241-901,241901,4810780,3,376239995.287,126211.009826,497772789.527344,145188.432196522
772,17830,East Bernard ISD,East Bernard,241902,241-902,241902,4817830,6,466434293.182,150778.017181,620076934.4375,173843.205211622
773,38190,Royal ISD,Royal,237905,237-905,237905,4838190,6,412498785.905,103582.480345,552204228.742188,119808.609322753
774,25170,Katy ISD,Katy,101914,101-914,101914,4825170,3,445422269.161,127982.210615,595693771.515625,147978.820800614
775,44470,Brazos ISD,Brazos,8903,008-903,008903,4844470,5,331229167.994,130909.015112,441218041.597656,151083.089751201
776,39630,Sealy ISD,Sealy,8902,008-902,008902,4839630,7,533514950.961,161961.664457,713195393.449219,187275.788603182
777,32310,Needville ISD,Needville,79906,079-906,079906,4832310,2,518384735.504,147931.70346,687260797.640625,170337.114340107
778,08090,Alvin ISD,Alvin,20901,020-901,020901,4808090,3,647972389.832,177562.073756,859628866.363281,204535.994578559
779,34440,Pearland ISD,Pearland,20908,020-908,020908,4834440,6,112088848.358,63379.6208229,149158095.28125,73104.8249015457
780,16290,Danbury ISD,Danbury,20904,020-904,020904,4816290,7,171409119.418,87331.2651764,226527797.484375,100371.956939183
781,08310,Angleton ISD,Angleton,20902,020-902,020902,4808310,6,1121309449.88,402336.162145,1481778201.29688,462456.796420416
782,23640,Houston ISD,Houston,101912,101-912,101912,4823640,2,860308841.597,204355.610874,1149118940.08594,236206.070187453
783,39270,Santa Fe ISD,Santa Fe,84909,084-909,084909,4839270,4,186978074.066,76064.8235331,247925635.410156,87639.8149531109
784,23310,Hitchcock ISD,Hitchcock,84908,084-908,084908,4823310,1,225285971.927,82772.8936432,298124408.472656,95232.8946940738
785,19950,Friendswood ISD,Friendswood,84911,084-911,084911,4819950,5,42427404.879,43741.1481223,56399529.4101563,50467.9599954168
786,19650,Fort Bend ISD,Fort Bend,79907,079-907,079907,4819650,7,438067167.092,145074.777321,583214289.582031,167408.381967489
787,44580,Warren ISD,Warren,229904,229-904,229904,4844580,2,668845228.26,175367.231338,909139172.597656,204356.857126857
788,41340,Spurger ISD,Spurger,229905,229-905,229905,4841340,1,283056128.976,113878.59441,385498146.417969,132849.044226659
789,25710,Kirbyville Cons ISD,Kirbyville Cons,121905,121-905,121905,4825710,4,635161884.08,187049.541277,864953454.605469,218298.525955677
790,24630,Jasper ISD,Jasper,121904,121-904,121904,4824630,6,1084241817.54,212320.082784,1484784299.56641,248381.222780261
791,33690,Onalaska ISD,Onalaska,187910,187-910,187910,4833690,1,188269580.126,69346.5959292,257226523.140625,81043.4662242889
792,21090,Goodrich ISD,Goodrich,187903,187-903,187903,4821090,4,107232418.968,68539.5141857,145795623.121094,79880.5066630027
793,10170,Big Sandy ISD (Polk),Big Sandy (Polk),187901,187-901,187901,4810170,7,513166786.644,120376.112493,698010269.980469,140417.461102964
794,40020,Shepherd ISD,Shepherd,204904,204-904,204904,4840020,7,379157224.672,106524.780001,514325755.949219,123974.009220349
795,14520,Coldspring-Oakhurst Cons ISD,Coldspring-Oakhurst Cons,204901,204-901,204901,4814520,3,1058500633.75,219919.056494,1440602079.09375,256575.598045941
796,13380,Centerville ISD (Trinity),Centerville (Trinity),228904,228-904,228904,4813380,6,284646812.657,117951.286696,391579663.59375,138368.694892564
797,21900,Groveton ISD,Groveton,228901,228-901,228901,4821900,4,1038698415.38,188468.324682,1425909900.10938,220840.1344799
798,27780,Livingston ISD,Livingston,187907,187-907,187907,4827780,2,852925737.749,270934.389632,1162492921.31641,316287.917605723
799,13770,Chester ISD,Chester,229906,229-906,229906,4813770,5,446211520.61,139239.6244,611253845.867188,163012.043278051
800,17040,Diboll ISD,Diboll,3905,003-905,003905,4817040,1,296059810.376,117334.920937,407406990.617188,137635.512584629
801,27120,Leggett ISD,Leggett,187906,187-906,187906,4827120,1,252156827.446,90196.9606361,344372007.5625,105373.554467613
802,15300,Corrigan-Camden ISD,Corrigan-Camden,187904,187-904,187904,4815300,3,724992908.524,154745.339409,993860481.324219,181190.26456982
803,14600,Colmesneil ISD,Colmesneil,229901,229-901,229901,4814600,4,561294424.244,164478.747469,768817106.199219,192484.024953903
804,46440,Woodville ISD,Woodville,229903,229-903,229903,4846440,3,805258815.931,216999.329185,1098920000.47266,253424.505863759
805,46740,Zavalla ISD,Zavalla,3906,003-906,003906,4846740,2,541221073.391,160835.65406,744075304.644531,188487.931129954
806,27810,Llano ISD,Llano,150901,150-901,150901,4827810,3,2331455837.62,255119.319149,3176923974.69531,297668.027764836
