YEAR,CAMPUS NAME,CAMPUS NUMBER,DISTRICT NAME,DISTRICT NUMBER,GRADEGRP1X,REGION,COUNTY NUMBER,COUNTY NAME,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL ELL STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL MILITARY CONNECTED STUDENTS,TOTAL FOSTER CARE STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES,TOTAL HOMELESS STUDENTS,TOTAL DYSLEXIC STUDENTS
2017-2018,WIDEN EL,227901175,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,522,14,0,261,241,20,478,522,408,-9999999,0,80,20,31
2017-2018,GALINDO EL,227901176,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,586,27,0,360,285,73,528,586,435,-9999999,-9999999,76,21,26
2017-2018,UPHAUS EARLY CHILDHOOD CENTER,227901177,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,340,0,0,199,195,12,306,340,231,6,-9999999,44,-9999999,0
2017-2018,JORDAN EL,227901178,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,662,27,0,456,431,24,620,662,549,0,0,82,11,16
2017-2018,DAVIS EL,227901179,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,807,71,0,171,27,137,186,6,310,10,-9999999,68,6,34
2017-2018,KIKER EL,227901180,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,1111,115,0,77,0,77,29,-9999999,219,10,0,102,-9999999,107
2017-2018,MILLS EL,227901181,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,854,72,0,68,0,68,50,0,167,5,-9999999,63,0,49
2017-2018,BARANOFF EL,227901182,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,1014,50,0,53,0,50,118,7,235,13,-9999999,78,7,63
2017-2018,COWAN EL,227901183,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,841,74,0,72,19,50,257,19,268,-9999999,7,89,20,60
2017-2018,CLAYTON EL,227901184,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,838,129,0,44,-9999999,38,12,0,134,0,0,83,0,34
2017-2018,BLAZIER EL,227901185,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,860,38,0,254,279,40,577,860,490,8,5,70,12,40
2017-2018,GUERRERO THOMPSON,227901186,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,633,21,0,543,490,52,618,633,575,0,0,63,7,8
2017-2018,BALDWIN EL,227901187,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,810,56,0,104,21,81,106,-9999999,211,7,5,88,-9999999,37
2017-2018,PADRON EL,227901188,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,759,16,0,639,603,35,718,759,691,0,0,68,7,30
2017-2018,OVERTON EL,227901189,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,559,12,0,360,349,17,519,559,456,0,0,46,-9999999,27
2017-2018,PEREZ EL,227901190,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,650,23,0,338,394,13,581,650,467,-9999999,-9999999,81,6,41
2017-2018,DOBIE PK CENTER,227901192,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,209,0,0,163,152,11,199,-9999999,163,0,-9999999,22,-9999999,0
2017-2018,WEBB PRI CENTER,227901193,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,246,9,0,184,155,29,227,246,210,0,0,19,17,11
2017-2018,AUSTIN ISD CHILD DEVELOPMENT CENTE,227901194,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,170,0,0,57,-9999999,32,170,-9999999,59,0,-9999999,-9999999,-9999999,0
2017-2018,ALTERNATIVE LEARNING CENTER,227901012,AUSTIN ISD,227901,ELEMENTARY / SECONDARY,13,227,TRAVIS COUNTY,101,-9999999,-9999999,38,0,36,82,-9999999,95,0,0,27,7,16
2017-2018,TRAVIS COUNTY DAY SCHOOL,227901027,AUSTIN ISD,227901,ELEMENTARY / SECONDARY,13,227,TRAVIS COUNTY,8,0,0,5,0,5,5,0,8,0,0,-9999999,0,0
2017-2018,RICHARDS SCH FOR YOUNG WOMEN LEADE,227901028,AUSTIN ISD,227901,ELEMENTARY / SECONDARY,13,227,TRAVIS COUNTY,827,260,827,36,0,35,445,7,137,0,0,6,7,20
2017-2018,TRAVIS COUNTY JUVENILE DETENTION C,227901030,AUSTIN ISD,227901,ELEMENTARY / SECONDARY,13,227,TRAVIS COUNTY,35,-9999999,0,16,0,15,15,0,35,0,0,9,-9999999,0
2017-2018,PHOENIX ACADEMY,227901032,AUSTIN ISD,227901,ELEMENTARY / SECONDARY,13,227,TRAVIS COUNTY,19,0,0,-9999999,0,-9999999,-9999999,0,19,0,0,-9999999,0,-9999999
2017-2018,LEADERSHIP ACADEMY,227901035,AUSTIN ISD,227901,ELEMENTARY / SECONDARY,13,227,TRAVIS COUNTY,16,0,0,6,0,5,-9999999,0,16,0,0,8,0,5
2017-2018,TRAVIS COUNTY J J A E P,227901036,AUSTIN ISD,227901,ELEMENTARY / SECONDARY,13,227,TRAVIS COUNTY,-9999999,0,0,0,0,0,-9999999,0,-9999999,0,0,-9999999,0,-9999999
2017-2018,AUSTIN ST HOSPITAL,227901250,AUSTIN ISD,227901,ELEMENTARY / SECONDARY,13,227,TRAVIS COUNTY,16,0,0,-9999999,0,-9999999,-9999999,0,16,-9999999,-9999999,10,0,0
2017-2018,ROSEDALE,227901251,AUSTIN ISD,227901,ELEMENTARY / SECONDARY,13,227,TRAVIS COUNTY,232,0,0,28,7,15,73,-9999999,126,0,0,206,-9999999,5
2017-2018,AUSTIN H S,227901002,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,2267,276,1199,113,0,103,544,22,810,-9999999,-9999999,200,22,200
2017-2018,LANIER H S,227901004,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,1586,67,1066,665,0,662,1322,1586,1227,0,-9999999,213,24,109
2017-2018,MCCALLUM H S,227901005,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,1761,317,857,63,0,58,387,9,575,-9999999,-9999999,161,9,119
2017-2018,REAGAN H S,227901006,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,1252,78,929,433,0,431,1051,1252,931,0,0,160,32,75
2017-2018,TRAVIS H S,227901007,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,1233,86,975,339,0,331,954,1233,878,0,-9999999,177,24,135
